,pid_0,pid_1,mean
100000,0.535,-0.363,0.08600000000000002
200000,0.566,-0.151,0.20749999999999996
300000,0.594,-0.221,0.1865
400000,0.637,-0.177,0.23
500000,0.726,-0.295,0.2155
600000,0.434,-0.412,0.01100000000000001
700000,0.697,-0.329,0.18399999999999997
800000,0.718,-0.313,0.20249999999999999
900000,0.695,-0.256,0.21949999999999997
1000000,0.596,-0.353,0.1215
1100000,0.337,-0.271,0.033
1200000,0.653,-0.314,0.1695
1300000,0.552,-0.358,0.09700000000000003
1400000,0.734,-0.274,0.22999999999999998
1500000,0.707,-0.282,0.2125
1600000,0.629,-0.26,0.1845
1700000,0.718,-0.367,0.1755
1800000,0.723,-0.214,0.2545
1900000,0.471,-0.377,0.046999999999999986
2000000,0.777,-0.299,0.23900000000000002
2100000,0.579,-0.296,0.1415
2200000,0.699,-0.345,0.177
2300000,0.653,-0.36,0.14650000000000002
2400000,0.838,-0.245,0.2965
2500000,0.681,-0.325,0.17800000000000002
2600000,0.742,-0.344,0.199
2700000,0.584,-0.324,0.12999999999999998
2800000,0.766,-0.355,0.20550000000000002
2900000,0.768,-0.321,0.2235
3000000,0.738,-0.342,0.19799999999999998
3100000,0.867,-0.315,0.276
3200000,0.802,-0.336,0.233
3300000,0.769,-0.373,0.198
3400000,0.783,-0.425,0.17900000000000002
3500000,0.814,-0.328,0.24299999999999997
3600000,0.766,-0.395,0.1855
3700000,0.804,-0.495,0.15450000000000003
3800000,0.759,-0.353,0.203
3900000,0.746,-0.333,0.2065
4000000,0.868,-0.426,0.221
4100000,0.767,-0.374,0.1965
4200000,0.699,-0.4,0.14949999999999997
4300000,0.809,-0.375,0.21700000000000003
4400000,0.83,-0.319,0.25549999999999995
4500000,0.804,-0.342,0.231
4600000,0.674,-0.405,0.1345
4700000,0.641,-0.409,0.11600000000000002
4800000,0.65,-0.406,0.122
4900000,0.676,-0.374,0.15100000000000002
5000000,0.633,-0.406,0.11349999999999999
5100000,0.587,-0.44,0.07349999999999998
5200000,0.674,-0.394,0.14
5300000,0.624,-0.409,0.10750000000000001
5400000,0.64,-0.407,0.11650000000000002
5500000,0.634,-0.389,0.1225
5600000,0.623,-0.366,0.1285
5700000,0.661,-0.36,0.15050000000000002
5800000,0.679,-0.381,0.14900000000000002
5900000,0.675,-0.424,0.12550000000000003
6000000,0.677,-0.408,0.13450000000000004
6100000,0.682,-0.37,0.15600000000000003
6200000,0.672,-0.392,0.14
6300000,0.693,-0.432,0.13049999999999998
6400000,0.689,-0.368,0.16049999999999998
6500000,0.73,-0.36,0.185
6600000,0.786,-0.41,0.18800000000000003
6700000,0.872,-0.155,0.3585
6800000,0.832,-0.369,0.23149999999999998
6900000,0.82,-0.344,0.238
7000000,0.839,-0.342,0.24849999999999997
7100000,0.591,-0.38,0.10549999999999998
7200000,0.688,-0.449,0.11949999999999997
7300000,0.651,-0.48,0.08550000000000002
7400000,0.735,-0.328,0.2035
7500000,0.745,-0.417,0.164
7600000,0.867,-0.207,0.33
7700000,0.85,-0.217,0.3165
7800000,0.729,-0.36,0.1845
7900000,0.692,-0.314,0.18899999999999997
8000000,0.788,-0.426,0.18100000000000002
8100000,0.809,-0.264,0.2725
8200000,0.799,-0.329,0.23500000000000001
8300000,0.798,-0.327,0.23550000000000001
8400000,0.778,-0.363,0.20750000000000002
8500000,0.807,-0.464,0.1715
8600000,0.838,-0.278,0.27999999999999997
8700000,0.806,-0.291,0.25750000000000006
8800000,0.835,-0.219,0.308
8900000,0.736,-0.07,0.33299999999999996
9000000,0.831,-0.181,0.32499999999999996
9100000,0.723,-0.239,0.242
9200000,0.787,-0.211,0.28800000000000003
9300000,0.8,-0.171,0.3145
9400000,0.824,-0.232,0.296
9500000,0.77,-0.219,0.2755
9600000,0.78,-0.197,0.2915
9700000,0.809,-0.226,0.29150000000000004
9800000,0.786,-0.189,0.2985
9900000,0.82,-0.233,0.2935
10000000,0.817,-0.181,0.31799999999999995
