,pid_0,pid_1,mean
100000,0.684,-0.554,0.065
200000,0.814,-0.378,0.21799999999999997
300000,0.862,-0.51,0.176
400000,0.88,-0.2,0.33999999999999997
500000,0.778,-0.348,0.21500000000000002
600000,0.53,-0.564,-0.01699999999999996
700000,0.59,-0.088,0.251
800000,0.868,-0.286,0.29100000000000004
900000,0.742,-0.49,0.126
1000000,0.87,-0.136,0.367
1100000,0.8,-0.09,0.35500000000000004
1200000,0.714,0.204,0.45899999999999996
1300000,0.822,0.4,0.611
1400000,0.822,0.026,0.424
1500000,0.838,0.364,0.601
1600000,0.82,-0.164,0.32799999999999996
1700000,0.874,-0.214,0.33
1800000,0.856,-0.324,0.266
1900000,0.742,-0.1,0.321
2000000,0.796,-0.178,0.30900000000000005
2100000,0.83,-0.332,0.24899999999999997
2200000,0.864,-0.518,0.173
2300000,0.824,-0.25,0.287
2400000,0.86,-0.052,0.40399999999999997
2500000,0.818,0.002,0.41
2600000,0.818,-0.232,0.293
2700000,0.722,-0.198,0.262
2800000,0.856,-0.22,0.318
2900000,0.908,-0.134,0.387
3000000,0.834,-0.14,0.347
3100000,0.84,-0.214,0.313
3200000,0.922,-0.342,0.29000000000000004
3300000,0.816,-0.282,0.267
3400000,0.768,-0.522,0.123
3500000,0.776,-0.528,0.124
3600000,0.722,-0.494,0.11399999999999999
3700000,0.722,-0.442,0.13999999999999999
3800000,0.67,-0.394,0.138
3900000,0.758,-0.118,0.32
4000000,0.786,-0.466,0.16
4100000,0.802,-0.544,0.129
4200000,0.77,-0.52,0.125
4300000,0.788,-0.614,0.08700000000000002
4400000,0.722,-0.556,0.08299999999999996
4500000,0.758,-0.498,0.13
4600000,0.76,-0.404,0.178
4700000,0.684,-0.526,0.07900000000000001
4800000,0.766,-0.572,0.09700000000000003
4900000,0.712,-0.52,0.09599999999999997
5000000,0.738,-0.566,0.08600000000000002
5100000,0.736,-0.622,0.056999999999999995
5200000,0.756,-0.5,0.128
5300000,0.486,-0.502,-0.008000000000000007
5400000,0.718,-0.462,0.12799999999999997
5500000,0.626,-0.47,0.07800000000000001
5600000,0.752,-0.416,0.168
5700000,0.688,-0.294,0.19699999999999998
5800000,0.79,-0.402,0.194
5900000,0.78,-0.314,0.233
6000000,0.89,-0.49,0.2
6100000,0.788,-0.444,0.17200000000000001
6200000,0.772,-0.478,0.14700000000000002
6300000,0.81,-0.424,0.19300000000000003
6400000,0.808,-0.392,0.20800000000000002
6500000,0.706,-0.492,0.10699999999999998
6600000,0.748,-0.528,0.10999999999999999
6700000,0.748,-0.456,0.146
6800000,0.67,-0.518,0.07600000000000001
6900000,0.702,-0.434,0.13399999999999998
7000000,0.758,-0.496,0.131
7100000,0.754,-0.328,0.213
7200000,0.716,-0.46,0.12799999999999997
7300000,0.736,-0.44,0.148
7400000,0.748,-0.448,0.15
7500000,0.742,-0.442,0.15
7600000,0.732,-0.4,0.16599999999999998
7700000,0.792,-0.37,0.21100000000000002
7800000,0.688,-0.382,0.15299999999999997
7900000,0.768,-0.404,0.182
8000000,0.628,-0.436,0.096
8100000,0.778,-0.468,0.155
8200000,0.756,-0.5,0.128
8300000,0.772,-0.518,0.127
8400000,0.69,-0.414,0.13799999999999998
8500000,0.734,-0.304,0.215
8600000,0.716,0.074,0.39499999999999996
8700000,0.696,0.07,0.383
8800000,0.746,0.084,0.415
8900000,0.732,0.092,0.412
9000000,0.706,0.06,0.383
9100000,0.71,0.108,0.409
9200000,0.69,0.036,0.363
9300000,0.736,0.012,0.374
9400000,0.724,0.14,0.432
9500000,0.69,0.086,0.38799999999999996
9600000,0.704,0.064,0.384
9700000,0.728,0.098,0.413
9800000,0.744,0.036,0.39
9900000,0.73,0.026,0.378
10000000,0.608,0.09,0.349
