,pid_0,pid_1,mean
100000,0.424,-0.396,0.013999999999999985
200000,0.237,-0.235,0.0010000000000000009
300000,0.534,-0.36,0.08700000000000002
400000,0.52,-0.386,0.067
500000,0.159,-0.42,-0.1305
600000,0.708,-0.365,0.17149999999999999
700000,0.568,-0.318,0.12499999999999997
800000,0.647,-0.42,0.11350000000000002
900000,0.67,-0.269,0.2005
1000000,0.069,-0.337,-0.134
1100000,0.797,-0.263,0.267
1200000,0.651,-0.259,0.196
1300000,0.403,-0.468,-0.0325
1400000,0.729,-0.452,0.13849999999999998
1500000,0.796,-0.356,0.22000000000000003
1600000,0.63,-0.357,0.1365
1700000,0.871,-0.186,0.3425
1800000,0.792,-0.325,0.2335
1900000,0.683,-0.189,0.24700000000000003
2000000,0.705,-0.218,0.2435
2100000,0.722,-0.164,0.27899999999999997
2200000,0.679,-0.174,0.25250000000000006
2300000,0.764,-0.197,0.2835
2400000,0.687,-0.195,0.24600000000000002
2500000,0.667,-0.266,0.2005
2600000,0.697,-0.236,0.23049999999999998
2700000,0.66,-0.233,0.21350000000000002
2800000,0.63,-0.236,0.197
2900000,0.704,-0.217,0.2435
3000000,0.652,-0.209,0.22150000000000003
3100000,0.729,-0.216,0.2565
3200000,0.69,-0.251,0.21949999999999997
3300000,0.741,-0.2,0.27049999999999996
3400000,0.713,-0.216,0.2485
3500000,0.673,-0.237,0.21800000000000003
3600000,0.605,-0.238,0.1835
3700000,0.718,-0.241,0.2385
3800000,0.64,-0.21,0.21500000000000002
3900000,0.659,-0.252,0.20350000000000001
4000000,0.733,-0.245,0.244
4100000,0.664,-0.194,0.23500000000000001
4200000,0.724,-0.211,0.2565
4300000,0.668,-0.253,0.20750000000000002
4400000,0.689,-0.211,0.239
4500000,0.743,-0.216,0.2635
4600000,0.692,-0.217,0.2375
4700000,0.669,-0.249,0.21000000000000002
4800000,0.684,-0.212,0.23600000000000004
4900000,0.693,-0.19,0.25149999999999995
5000000,0.703,-0.207,0.248
5100000,0.647,-0.204,0.22150000000000003
5200000,0.697,-0.202,0.24749999999999997
5300000,0.688,-0.234,0.22699999999999998
5400000,0.692,-0.336,0.17799999999999996
5500000,0.739,-0.305,0.217
5600000,0.637,-0.207,0.21500000000000002
5700000,0.756,-0.394,0.181
5800000,0.669,-0.356,0.15650000000000003
5900000,0.642,-0.358,0.14200000000000002
6000000,0.592,-0.389,0.10149999999999998
6100000,0.683,-0.224,0.22950000000000004
6200000,0.777,-0.307,0.23500000000000001
6300000,0.644,-0.346,0.14900000000000002
6400000,0.831,-0.239,0.296
6500000,0.701,-0.346,0.1775
6600000,0.614,-0.155,0.22949999999999998
6700000,0.438,-0.256,0.091
6800000,0.648,-0.447,0.1005
6900000,0.682,-0.307,0.18750000000000003
7000000,0.417,-0.298,0.0595
7100000,0.659,-0.344,0.15750000000000003
7200000,0.479,-0.378,0.05049999999999999
7300000,0.712,-0.418,0.147
7400000,0.586,-0.422,0.08199999999999999
7500000,0.598,-0.372,0.11299999999999999
7600000,0.256,-0.376,-0.06
7700000,0.256,-0.363,-0.05349999999999999
7800000,0.502,-0.255,0.1235
7900000,0.241,-0.351,-0.05499999999999999
8000000,0.64,-0.397,0.1215
8100000,0.669,-0.219,0.22500000000000003
8200000,0.578,-0.141,0.21849999999999997
8300000,0.715,-0.242,0.2365
8400000,0.571,-0.167,0.20199999999999996
8500000,0.74,-0.295,0.2225
8600000,0.657,0.03,0.3435
8700000,0.394,-0.363,0.015500000000000014
8800000,0.699,0.123,0.411
8900000,0.633,-0.106,0.2635
9000000,0.838,-0.195,0.3215
9100000,0.629,-0.063,0.28300000000000003
9200000,0.427,-0.432,-0.0025000000000000022
9300000,0.259,-0.485,-0.11299999999999999
9400000,0.442,-0.416,0.013000000000000012
9500000,0.118,-0.475,-0.1785
9600000,0.075,-0.46,-0.1925
9700000,0.426,-0.468,-0.02100000000000002
9800000,0.372,-0.349,0.01150000000000001
9900000,0.405,-0.443,-0.01899999999999999
10000000,0.446,-0.318,0.064
