,pid_0,pid_1,mean
100000,0.678,-0.442,0.11800000000000002
200000,0.658,-0.178,0.24000000000000002
300000,0.918,0.104,0.511
400000,0.908,-0.176,0.366
500000,0.73,0.13,0.43
600000,0.88,-0.082,0.399
700000,0.922,-0.046,0.438
800000,0.908,-0.166,0.371
900000,0.85,-0.126,0.362
1000000,0.838,-0.262,0.288
1100000,0.908,-0.298,0.30500000000000005
1200000,0.98,-0.098,0.441
1300000,0.948,-0.296,0.32599999999999996
1400000,0.96,-0.046,0.45699999999999996
1500000,0.814,0.122,0.46799999999999997
1600000,0.782,0.142,0.462
1700000,0.948,-0.548,0.19999999999999996
1800000,0.824,-0.464,0.17999999999999997
1900000,0.728,-0.068,0.32999999999999996
2000000,0.864,-0.252,0.306
2100000,0.954,-0.35,0.302
2200000,0.916,-0.258,0.329
2300000,0.92,-0.246,0.337
2400000,0.924,-0.318,0.30300000000000005
2500000,0.958,-0.23,0.364
2600000,0.952,0.212,0.582
2700000,0.944,0.4,0.6719999999999999
2800000,0.95,0.276,0.613
2900000,0.814,0.02,0.417
3000000,0.888,0.134,0.511
3100000,0.842,0.21,0.526
3200000,0.818,0.214,0.516
3300000,0.842,0.334,0.588
3400000,0.878,0.26,0.569
3500000,0.868,0.164,0.516
3600000,0.968,0.032,0.5
3700000,0.918,-0.124,0.397
3800000,0.906,-0.138,0.384
3900000,0.902,-0.158,0.372
4000000,0.936,-0.03,0.453
4100000,0.936,-0.172,0.382
4200000,0.932,-0.142,0.395
4300000,0.932,-0.14,0.396
4400000,0.92,-0.14,0.39
4500000,0.916,-0.224,0.34600000000000003
4600000,0.902,-0.122,0.39
4700000,0.866,-0.262,0.302
4800000,0.866,-0.31,0.278
4900000,0.878,-0.382,0.248
5000000,0.896,-0.346,0.275
5100000,0.88,-0.254,0.313
5200000,0.842,-0.362,0.24
5300000,0.884,-0.232,0.326
5400000,0.892,-0.352,0.27
5500000,0.914,-0.48,0.21700000000000003
5600000,0.9,-0.376,0.262
5700000,0.89,-0.424,0.233
5800000,0.908,-0.158,0.375
5900000,0.934,-0.198,0.368
6000000,0.854,-0.366,0.244
6100000,0.974,-0.44,0.267
6200000,0.618,-0.484,0.067
6300000,0.904,-0.364,0.27
6400000,0.934,-0.318,0.30800000000000005
6500000,0.936,-0.306,0.31500000000000006
6600000,0.942,-0.214,0.364
6700000,0.922,-0.216,0.35300000000000004
6800000,0.938,-0.194,0.372
6900000,0.928,-0.14,0.394
7000000,0.95,-0.188,0.381
7100000,0.92,-0.192,0.364
7200000,0.93,-0.194,0.368
7300000,0.926,-0.124,0.401
7400000,0.928,-0.106,0.41100000000000003
7500000,0.918,-0.06,0.42900000000000005
7600000,0.92,-0.126,0.397
7700000,0.916,-0.144,0.386
7800000,0.95,-0.192,0.379
7900000,0.912,-0.076,0.41800000000000004
8000000,0.934,-0.132,0.401
8100000,0.944,-0.154,0.39499999999999996
8200000,0.946,-0.114,0.416
8300000,0.942,-0.134,0.40399999999999997
8400000,0.924,-0.168,0.378
8500000,0.938,-0.134,0.40199999999999997
8600000,0.934,-0.1,0.41700000000000004
8700000,0.952,-0.104,0.424
8800000,0.958,-0.108,0.425
8900000,0.946,-0.126,0.41
9000000,0.946,-0.102,0.422
9100000,0.938,-0.124,0.407
9200000,0.93,-0.23,0.35000000000000003
9300000,0.954,-0.146,0.40399999999999997
9400000,0.928,-0.246,0.341
9500000,0.93,-0.136,0.397
9600000,0.938,-0.118,0.41
9700000,0.932,-0.104,0.41400000000000003
9800000,0.906,-0.196,0.355
9900000,0.908,-0.212,0.34800000000000003
10000000,0.912,-0.092,0.41000000000000003
