,pid_0,pid_1,mean
100000,0.592,-0.241,0.1755
200000,0.596,-0.358,0.119
300000,0.612,-0.27,0.17099999999999999
400000,0.659,-0.183,0.23800000000000002
500000,0.51,-0.016,0.247
600000,0.75,-0.297,0.2265
700000,0.65,-0.211,0.21950000000000003
800000,0.623,-0.289,0.167
900000,0.718,-0.243,0.2375
1000000,0.702,-0.265,0.21849999999999997
1100000,0.71,-0.353,0.1785
1200000,0.655,-0.172,0.24150000000000002
1300000,0.552,-0.326,0.11300000000000002
1400000,0.45,-0.411,0.019500000000000017
1500000,0.561,-0.409,0.07600000000000004
1600000,0.48,-0.357,0.0615
1700000,0.47,-0.455,0.007499999999999979
1800000,0.714,-0.323,0.19549999999999998
1900000,0.528,-0.331,0.0985
2000000,0.774,-0.29,0.24200000000000002
2100000,0.841,-0.422,0.2095
2200000,0.739,-0.364,0.1875
2300000,0.787,-0.311,0.23800000000000002
2400000,0.61,-0.309,0.1505
2500000,0.739,-0.271,0.23399999999999999
2600000,0.6,-0.269,0.16549999999999998
2700000,0.769,-0.263,0.253
2800000,0.823,-0.222,0.3005
2900000,0.778,-0.233,0.2725
3000000,0.828,-0.281,0.27349999999999997
3100000,0.74,-0.37,0.185
3200000,0.747,-0.287,0.23
3300000,0.786,-0.27,0.258
3400000,0.634,-0.338,0.148
3500000,0.774,-0.43,0.17200000000000001
3600000,0.796,-0.223,0.28650000000000003
3700000,0.829,-0.285,0.272
3800000,0.825,-0.276,0.27449999999999997
3900000,0.792,-0.194,0.29900000000000004
4000000,0.803,-0.359,0.22200000000000003
4100000,0.726,-0.404,0.16099999999999998
4200000,0.849,-0.157,0.346
4300000,0.804,-0.224,0.29000000000000004
4400000,0.697,-0.333,0.18199999999999997
4500000,0.719,-0.234,0.2425
4600000,0.892,-0.194,0.349
4700000,0.802,-0.196,0.30300000000000005
4800000,0.84,-0.295,0.27249999999999996
4900000,0.789,-0.248,0.2705
5000000,0.805,-0.288,0.25850000000000006
5100000,0.743,-0.341,0.20099999999999998
5200000,0.8,-0.318,0.24100000000000002
5300000,0.729,-0.288,0.2205
5400000,0.721,-0.375,0.173
5500000,0.8,-0.303,0.24850000000000003
5600000,0.816,-0.327,0.24449999999999997
5700000,0.847,-0.275,0.286
5800000,0.898,-0.253,0.3225
5900000,0.814,-0.317,0.24849999999999997
6000000,0.741,-0.214,0.2635
6100000,0.737,-0.225,0.256
6200000,0.795,-0.268,0.2635
6300000,0.822,-0.17,0.32599999999999996
6400000,0.801,-0.279,0.261
6500000,0.846,-0.295,0.27549999999999997
6600000,0.862,-0.394,0.23399999999999999
6700000,0.719,-0.344,0.1875
6800000,0.802,-0.252,0.275
6900000,0.861,-0.438,0.2115
7000000,0.843,-0.328,0.25749999999999995
7100000,0.8,-0.356,0.22200000000000003
7200000,0.847,-0.327,0.26
7300000,0.698,-0.307,0.19549999999999998
7400000,0.796,-0.322,0.23700000000000002
7500000,0.775,-0.303,0.23600000000000002
7600000,0.785,-0.299,0.24300000000000002
7700000,0.763,-0.207,0.278
7800000,0.832,-0.336,0.24799999999999997
7900000,0.796,-0.33,0.233
8000000,0.789,-0.423,0.18300000000000002
8100000,0.674,-0.362,0.15600000000000003
8200000,0.737,-0.439,0.149
8300000,0.651,-0.187,0.232
8400000,0.785,-0.278,0.2535
8500000,0.722,-0.312,0.205
8600000,0.722,-0.329,0.19649999999999998
8700000,0.756,-0.25,0.253
8800000,0.692,-0.226,0.23299999999999998
8900000,0.691,-0.246,0.22249999999999998
9000000,0.744,-0.311,0.2165
9100000,0.76,-0.279,0.2405
9200000,0.798,-0.261,0.2685
9300000,0.787,-0.303,0.24200000000000002
9400000,0.764,-0.259,0.2525
9500000,0.831,-0.314,0.25849999999999995
9600000,0.614,-0.391,0.11149999999999999
9700000,0.834,-0.395,0.21949999999999997
9800000,0.778,-0.307,0.23550000000000001
9900000,0.867,-0.296,0.2855
10000000,0.788,-0.248,0.27
