,pid_0,pid_1,mean
100000,-0.074,-0.607,-0.34049999999999997
200000,0.19,-0.357,-0.08349999999999999
300000,0.428,-0.401,0.013499999999999984
400000,0.476,-0.298,0.089
500000,0.693,-0.348,0.1725
600000,0.203,-0.43,-0.11349999999999999
700000,0.701,-0.21,0.2455
800000,0.518,-0.266,0.126
900000,0.53,-0.246,0.14200000000000002
1000000,0.692,-0.367,0.16249999999999998
1100000,0.685,-0.367,0.15900000000000003
1200000,0.59,-0.347,0.1215
1300000,0.492,-0.255,0.1185
1400000,0.526,-0.316,0.10500000000000001
1500000,0.722,-0.372,0.175
1600000,0.621,-0.254,0.1835
1700000,0.505,-0.299,0.10300000000000001
1800000,0.723,-0.206,0.2585
1900000,0.485,-0.316,0.08449999999999999
2000000,0.618,-0.283,0.1675
2100000,0.834,-0.235,0.2995
2200000,0.563,-0.325,0.11899999999999997
2300000,0.647,-0.318,0.1645
2400000,0.692,-0.4,0.14599999999999996
2500000,0.618,-0.261,0.1785
2600000,0.468,-0.39,0.03900000000000001
2700000,0.763,-0.307,0.228
2800000,0.709,-0.194,0.25749999999999995
2900000,0.742,-0.289,0.2265
3000000,0.568,-0.182,0.19299999999999998
3100000,0.656,-0.163,0.2465
3200000,0.671,-0.322,0.17450000000000002
3300000,0.62,-0.186,0.217
3400000,0.614,-0.187,0.2135
3500000,0.753,-0.291,0.231
3600000,0.661,-0.355,0.15300000000000002
3700000,0.757,-0.393,0.182
3800000,0.601,-0.298,0.1515
3900000,0.63,-0.429,0.1005
4000000,0.561,-0.194,0.18350000000000002
4100000,0.826,-0.189,0.3185
4200000,0.618,0.016,0.317
4300000,0.756,-0.134,0.311
4400000,0.469,-0.364,0.05249999999999999
4500000,0.671,-0.366,0.15250000000000002
4600000,0.723,-0.284,0.2195
4700000,0.679,-0.327,0.17600000000000002
4800000,0.813,-0.34,0.23649999999999996
4900000,0.61,-0.282,0.164
5000000,0.698,-0.129,0.2845
5100000,0.64,-0.227,0.20650000000000002
5200000,0.496,-0.222,0.137
5300000,0.761,-0.219,0.271
5400000,0.736,-0.267,0.2345
5500000,0.732,-0.334,0.19899999999999998
5600000,0.682,-0.447,0.11750000000000002
5700000,0.561,-0.341,0.11000000000000001
5800000,0.649,-0.446,0.1015
5900000,0.822,-0.16,0.33099999999999996
6000000,0.843,-0.354,0.2445
6100000,0.756,-0.391,0.1825
6200000,0.73,-0.278,0.22599999999999998
6300000,0.564,-0.282,0.141
6400000,0.47,-0.262,0.10399999999999998
6500000,0.764,-0.174,0.29500000000000004
6600000,0.766,-0.073,0.34650000000000003
6700000,0.437,-0.326,0.055499999999999994
6800000,0.603,-0.331,0.13599999999999998
6900000,0.449,-0.4,0.024499999999999994
7000000,0.385,-0.41,-0.012499999999999983
7100000,0.56,-0.379,0.09050000000000002
7200000,0.118,-0.442,-0.162
7300000,0.637,-0.273,0.182
7400000,0.289,-0.307,-0.009000000000000008
7500000,0.367,-0.202,0.08249999999999999
7600000,0.653,-0.251,0.201
7700000,0.467,-0.126,0.1705
7800000,0.671,-0.354,0.15850000000000003
7900000,0.594,-0.356,0.119
8000000,0.608,-0.496,0.055999999999999994
8100000,0.614,-0.508,0.05299999999999999
8200000,0.57,-0.355,0.10749999999999998
8300000,0.639,-0.305,0.167
8400000,0.651,-0.336,0.1575
8500000,0.649,-0.334,0.1575
8600000,0.631,-0.339,0.146
8700000,0.643,-0.323,0.16
8800000,0.68,-0.32,0.18000000000000002
8900000,0.557,-0.326,0.11550000000000002
9000000,0.622,-0.34,0.141
9100000,0.687,-0.357,0.16500000000000004
9200000,0.676,-0.315,0.18050000000000002
9300000,0.631,-0.323,0.154
9400000,0.665,-0.3,0.18250000000000002
9500000,0.594,-0.34,0.12699999999999997
9600000,0.62,-0.421,0.0995
9700000,0.623,-0.309,0.157
9800000,0.673,-0.356,0.15850000000000003
9900000,0.677,-0.358,0.15950000000000003
10000000,0.654,-0.347,0.15350000000000003
