,pid_0,pid_1,mean
100000,0.944,-0.238,0.353
200000,0.75,-0.578,0.08600000000000002
300000,0.62,-0.162,0.22899999999999998
400000,0.54,-0.468,0.036000000000000004
500000,0.766,0.296,0.531
600000,0.962,-0.052,0.45499999999999996
700000,0.87,-0.044,0.413
800000,0.804,0.21,0.507
900000,0.79,-0.042,0.374
1000000,0.766,-0.05,0.358
1100000,0.79,-0.064,0.363
1200000,0.9,0.226,0.5630000000000001
1300000,0.918,0.114,0.516
1400000,0.9,0.402,0.651
1500000,0.892,0.186,0.539
1600000,0.86,-0.474,0.193
1700000,0.868,-0.278,0.295
1800000,0.756,0.328,0.542
1900000,0.65,-0.368,0.14100000000000001
2000000,0.828,0.182,0.505
2100000,0.882,0.08,0.481
2200000,0.864,0.038,0.451
2300000,0.866,0.31,0.588
2400000,0.844,0.15,0.497
2500000,0.796,0.048,0.42200000000000004
2600000,0.912,0.316,0.614
2700000,0.892,0.164,0.528
2800000,0.9,0.274,0.587
2900000,0.926,0.41,0.668
3000000,0.93,0.346,0.638
3100000,0.912,0.418,0.665
3200000,0.916,0.314,0.615
3300000,0.918,0.448,0.683
3400000,0.916,0.268,0.5920000000000001
3500000,0.9,0.326,0.613
3600000,0.884,0.218,0.551
3700000,0.91,0.31,0.61
3800000,0.906,0.33,0.618
3900000,0.93,0.4,0.665
4000000,0.904,0.248,0.5760000000000001
4100000,0.914,0.386,0.65
4200000,0.916,0.372,0.644
4300000,0.91,0.386,0.648
4400000,0.91,0.328,0.619
4500000,0.928,0.412,0.67
4600000,0.896,0.3,0.598
4700000,0.904,0.428,0.666
4800000,0.91,0.434,0.672
4900000,0.938,0.402,0.6699999999999999
5000000,0.912,0.452,0.682
5100000,0.94,0.404,0.6719999999999999
5200000,0.918,0.442,0.68
5300000,0.914,0.41,0.662
5400000,0.924,0.386,0.655
5500000,0.918,0.442,0.68
5600000,0.934,0.41,0.672
5700000,0.918,0.394,0.656
5800000,0.912,0.372,0.642
5900000,0.912,0.364,0.638
6000000,0.932,0.392,0.662
6100000,0.904,0.33,0.617
6200000,0.924,0.364,0.644
6300000,0.944,0.294,0.619
6400000,0.9,0.224,0.562
6500000,0.932,0.36,0.646
6600000,0.94,0.304,0.622
6700000,0.94,0.296,0.618
6800000,0.974,0.356,0.665
6900000,0.964,0.306,0.635
7000000,0.946,0.324,0.635
7100000,0.966,0.322,0.644
7200000,0.946,0.32,0.633
7300000,0.938,0.362,0.6499999999999999
7400000,0.98,0.332,0.656
7500000,0.952,0.392,0.6719999999999999
7600000,0.948,0.362,0.655
7700000,0.946,0.382,0.6639999999999999
7800000,0.926,0.36,0.643
7900000,0.962,0.398,0.6799999999999999
8000000,0.97,0.348,0.659
8100000,0.948,0.406,0.677
8200000,0.908,0.398,0.653
8300000,0.906,0.21,0.558
8400000,0.926,0.324,0.625
8500000,0.852,0.312,0.582
8600000,0.906,0.23,0.5680000000000001
8700000,0.892,0.31,0.601
8800000,0.818,0.204,0.511
8900000,0.816,0.13,0.473
9000000,0.596,0.118,0.357
9100000,0.672,0.202,0.43700000000000006
9200000,0.73,0.298,0.514
9300000,0.966,0.46,0.713
9400000,0.932,0.406,0.669
9500000,0.906,0.39,0.648
9600000,0.788,0.294,0.541
9700000,0.85,0.38,0.615
9800000,0.892,0.382,0.637
9900000,0.84,0.452,0.646
10000000,0.872,0.448,0.66
