,pid_0,pid_1,mean
100000,0.82,-0.596,0.11199999999999999
200000,0.748,0.2,0.474
300000,0.494,-0.77,-0.138
400000,-0.036,-0.562,-0.29900000000000004
500000,0.678,-0.708,-0.014999999999999958
600000,0.79,-0.26,0.265
700000,0.746,-0.456,0.145
800000,0.554,-0.472,0.041000000000000036
900000,0.9,-0.548,0.176
1000000,0.792,-0.504,0.14400000000000002
1100000,0.876,-0.202,0.33699999999999997
1200000,0.868,-0.108,0.38
1300000,0.876,-0.192,0.34199999999999997
1400000,0.89,-0.272,0.309
1500000,0.912,-0.218,0.34700000000000003
1600000,0.884,-0.28,0.302
1700000,0.836,-0.272,0.282
1800000,0.842,-0.442,0.19999999999999998
1900000,0.874,-0.406,0.23399999999999999
2000000,0.9,-0.416,0.24200000000000002
2100000,0.882,-0.496,0.193
2200000,0.81,-0.51,0.15000000000000002
2300000,0.778,-0.51,0.134
2400000,0.772,-0.492,0.14
2500000,0.708,-0.59,0.059
2600000,0.808,-0.432,0.18800000000000003
2700000,0.874,-0.506,0.184
2800000,0.87,-0.48,0.195
2900000,0.782,-0.47,0.15600000000000003
3000000,0.74,-0.318,0.211
3100000,0.812,-0.444,0.18400000000000002
3200000,0.43,-0.52,-0.04500000000000001
3300000,0.784,-0.356,0.21400000000000002
3400000,0.682,-0.362,0.16000000000000003
3500000,0.606,-0.448,0.07899999999999999
3600000,0.638,-0.154,0.242
3700000,0.638,-0.03,0.304
3800000,0.768,-0.262,0.253
3900000,0.666,-0.184,0.24100000000000002
4000000,0.634,-0.142,0.246
4100000,0.734,-0.206,0.264
4200000,0.63,-0.132,0.249
4300000,0.794,-0.166,0.314
4400000,0.9,-0.206,0.34700000000000003
4500000,0.894,-0.12,0.387
4600000,0.838,-0.146,0.346
4700000,0.842,-0.07,0.386
4800000,0.896,-0.042,0.427
4900000,0.84,-0.104,0.368
5000000,0.84,-0.13,0.355
5100000,0.818,-0.178,0.31999999999999995
5200000,0.892,-0.062,0.41500000000000004
5300000,0.906,-0.264,0.321
5400000,0.866,-0.33,0.268
5500000,0.89,-0.08,0.405
5600000,0.89,-0.02,0.435
5700000,0.87,-0.138,0.366
5800000,0.832,-0.112,0.36
5900000,0.904,-0.158,0.373
6000000,0.662,-0.168,0.247
6100000,0.9,-0.122,0.389
6200000,0.794,-0.036,0.379
6300000,0.838,-0.212,0.313
6400000,0.88,-0.116,0.382
6500000,0.846,-0.236,0.305
6600000,0.874,-0.346,0.264
6700000,0.898,-0.278,0.31
6800000,0.898,-0.106,0.396
6900000,0.856,-0.208,0.324
7000000,0.762,-0.078,0.342
7100000,0.828,-0.2,0.31399999999999995
7200000,0.844,-0.224,0.31
7300000,0.78,-0.2,0.29000000000000004
7400000,0.782,-0.216,0.28300000000000003
7500000,0.798,-0.146,0.326
7600000,0.816,-0.216,0.3
7700000,0.816,-0.184,0.31599999999999995
7800000,0.766,-0.17,0.298
7900000,0.824,-0.168,0.32799999999999996
8000000,0.8,-0.192,0.30400000000000005
8100000,0.766,-0.24,0.263
8200000,0.79,-0.218,0.28600000000000003
8300000,0.81,-0.204,0.30300000000000005
8400000,0.84,-0.216,0.312
8500000,0.894,-0.358,0.268
8600000,0.858,-0.376,0.241
8700000,0.848,-0.24,0.304
8800000,0.82,-0.398,0.21099999999999997
8900000,0.87,-0.2,0.33499999999999996
9000000,0.88,-0.262,0.309
9100000,0.862,-0.204,0.329
9200000,0.694,-0.204,0.245
9300000,0.812,-0.248,0.28200000000000003
9400000,0.812,-0.206,0.30300000000000005
9500000,0.872,-0.202,0.33499999999999996
9600000,0.89,-0.33,0.28
9700000,0.892,-0.44,0.226
9800000,0.752,-0.162,0.295
9900000,0.78,-0.128,0.326
10000000,0.758,-0.222,0.268
