,dqn_sum,dqn_pid_0,dqn_pid_1
204000,1.776,1.0,0.776
205000,1.792,1.0,0.792
206000,1.8359999999999999,1.0,0.836
207000,1.776,1.0,0.776
208000,1.776,1.0,0.776
209000,1.8239999999999998,1.0,0.824
210000,1.786,1.0,0.786
211000,1.814,1.0,0.814
212000,1.77,1.0,0.77
213000,1.766,1.0,0.766
214000,1.76,1.0,0.76
215000,1.784,1.0,0.784
216000,1.804,1.0,0.804
217000,1.796,1.0,0.796
218000,1.808,1.0,0.808
219000,1.788,1.0,0.788
220000,1.758,1.0,0.758
221000,1.794,1.0,0.794
222000,1.78,1.0,0.78
223000,1.756,1.0,0.756
224000,1.804,1.0,0.804
225000,1.786,1.0,0.786
226000,1.74,0.95,0.79
227000,1.762,0.976,0.786
228000,1.808,1.0,0.808
229000,0.0,1.0,-1.0
230000,1.782,1.0,0.782
231000,1.79,1.0,0.79
232000,1.774,1.0,0.774
233000,1.766,1.0,0.766
234000,1.726,1.0,0.726
235000,1.784,1.0,0.784
236000,1.79,1.0,0.79
237000,0.0,1.0,-1.0
238000,1.814,1.0,0.814
239000,1.774,1.0,0.774
240000,0.0,1.0,-1.0
241000,0.0,1.0,-1.0
242000,1.768,1.0,0.768
243000,1.754,1.0,0.754
244000,1.794,1.0,0.794
245000,1.774,0.974,0.8
246000,1.78,1.0,0.78
247000,1.794,1.0,0.794
248000,1.822,1.0,0.822
249000,1.772,1.0,0.772
250000,0.0,1.0,-1.0
251000,1.794,1.0,0.794
252000,1.756,1.0,0.756
253000,0.0,1.0,-1.0
254000,0.0,1.0,-1.0
255000,1.808,1.0,0.808
256000,1.8199999999999998,1.0,0.82
257000,1.754,1.0,0.754
258000,1.764,1.0,0.764
259000,1.77,1.0,0.77
260000,1.802,1.0,0.802
261000,1.72,1.0,0.72
262000,0.0,1.0,-1.0
263000,1.79,1.0,0.79
264000,1.78,1.0,0.78
265000,1.758,1.0,0.758
266000,1.748,1.0,0.748
267000,1.774,1.0,0.774
268000,0.0,1.0,-1.0
269000,1.808,1.0,0.808
270000,1.762,1.0,0.762
271000,1.766,1.0,0.766
272000,1.74,1.0,0.74
273000,0.0,1.0,-1.0
274000,1.744,1.0,0.744
275000,1.752,1.0,0.752
276000,1.798,1.0,0.798
277000,0.0,1.0,-1.0
278000,1.762,1.0,0.762
279000,1.778,1.0,0.778
280000,1.788,1.0,0.788
281000,1.788,1.0,0.788
282000,1.786,1.0,0.786
283000,1.786,1.0,0.786
284000,0.0,1.0,-1.0
285000,1.774,1.0,0.774
286000,1.8159999999999998,1.0,0.816
287000,1.806,1.0,0.806
288000,1.788,1.0,0.788
289000,1.786,1.0,0.786
290000,1.778,1.0,0.778
291000,1.798,1.0,0.798
292000,1.76,1.0,0.76
293000,1.778,1.0,0.778
294000,1.756,1.0,0.756
295000,1.83,1.0,0.83
296000,1.786,0.974,0.812
297000,1.768,1.0,0.768
298000,1.79,1.0,0.79
299000,1.746,1.0,0.746
300000,0.0,1.0,-1.0
301000,1.756,1.0,0.756
302000,1.738,1.0,0.738
303000,1.814,1.0,0.814
304000,1.732,1.0,0.732
305000,1.752,1.0,0.752
306000,1.794,1.0,0.794
307000,0.0,1.0,-1.0
308000,1.776,1.0,0.776
309000,1.772,1.0,0.772
310000,1.79,1.0,0.79
311000,1.806,1.0,0.806
312000,1.78,1.0,0.78
313000,1.712,1.0,0.712
314000,1.784,1.0,0.784
315000,1.746,1.0,0.746
316000,1.76,1.0,0.76
317000,1.776,1.0,0.776
318000,-0.19199999999999995,-1.0,0.808
319000,1.746,1.0,0.746
320000,1.79,1.0,0.79
321000,0.0,1.0,-1.0
322000,1.798,1.0,0.798
323000,1.754,1.0,0.754
324000,1.746,1.0,0.746
325000,1.774,1.0,0.774
326000,1.73,1.0,0.73
327000,1.744,1.0,0.744
328000,0.0,1.0,-1.0
329000,1.708,1.0,0.708
330000,0.0,1.0,-1.0
331000,1.782,1.0,0.782
332000,1.808,1.0,0.808
333000,1.8199999999999998,1.0,0.82
334000,1.756,1.0,0.756
335000,1.746,1.0,0.746
336000,0.0,1.0,-1.0
337000,1.766,1.0,0.766
338000,1.78,1.0,0.78
339000,0.0,1.0,-1.0
340000,1.732,1.0,0.732
341000,0.0,1.0,-1.0
342000,1.768,1.0,0.768
343000,1.788,1.0,0.788
344000,1.782,1.0,0.782
345000,1.8239999999999998,1.0,0.824
346000,1.822,1.0,0.822
347000,1.752,1.0,0.752
348000,1.736,1.0,0.736
349000,1.782,1.0,0.782
350000,1.798,1.0,0.798
351000,1.784,1.0,0.784
352000,0.0,1.0,-1.0
353000,1.778,1.0,0.778
354000,1.758,1.0,0.758
355000,1.726,0.962,0.764
356000,0.0,1.0,-1.0
357000,1.792,1.0,0.792
358000,1.776,1.0,0.776
359000,1.752,1.0,0.752
360000,1.788,1.0,0.788
361000,1.782,1.0,0.782
362000,1.756,1.0,0.756
363000,1.784,1.0,0.784
364000,1.742,1.0,0.742
365000,1.8,1.0,0.8
366000,1.752,1.0,0.752
367000,1.77,1.0,0.77
368000,1.794,1.0,0.794
369000,1.798,1.0,0.798
370000,1.778,1.0,0.778
371000,1.798,1.0,0.798
372000,1.704,1.0,0.704
373000,1.792,1.0,0.792
374000,1.748,1.0,0.748
375000,1.744,1.0,0.744
376000,1.694,1.0,0.694
377000,1.766,1.0,0.766
378000,1.774,1.0,0.774
379000,1.772,1.0,0.772
380000,1.75,1.0,0.75
381000,1.802,1.0,0.802
382000,1.732,1.0,0.732
383000,1.754,1.0,0.754
384000,0.0,1.0,-1.0
385000,1.774,1.0,0.774
386000,1.736,1.0,0.736
387000,1.762,1.0,0.762
388000,1.764,1.0,0.764
389000,1.784,1.0,0.784
390000,0.0,1.0,-1.0
391000,0.0,1.0,-1.0
392000,1.766,1.0,0.766
393000,1.768,1.0,0.768
394000,1.774,1.0,0.774
395000,1.74,1.0,0.74
396000,1.734,1.0,0.734
397000,1.75,1.0,0.75
398000,1.766,1.0,0.766
399000,0.0,1.0,-1.0
400000,1.752,1.0,0.752
401000,1.736,1.0,0.736
402000,1.752,1.0,0.752
403000,1.758,1.0,0.758
404000,1.712,0.978,0.734
405000,1.76,1.0,0.76
406000,1.746,1.0,0.746
407000,1.764,1.0,0.764
408000,1.778,1.0,0.778
409000,1.73,1.0,0.73
410000,1.762,1.0,0.762
411000,1.764,1.0,0.764
412000,1.694,1.0,0.694
413000,1.736,1.0,0.736
414000,1.748,1.0,0.748
415000,1.756,1.0,0.756
416000,0.0,1.0,-1.0
417000,1.708,1.0,0.708
418000,1.754,1.0,0.754
419000,1.77,1.0,0.77
420000,1.758,1.0,0.758
421000,1.742,1.0,0.742
422000,1.744,1.0,0.744
423000,1.75,1.0,0.75
