,dqn_sum,dqn_pid_0,dqn_pid_1
190000,-0.07899999999999996,0.921,-1.0
191000,1.483,0.923,0.56
192000,1.464,0.897,0.567
193000,1.381,0.918,0.463
194000,0.575,0.0,0.575
195000,1.433,0.911,0.522
196000,1.4540000000000002,0.909,0.545
197000,1.441,0.905,0.536
198000,1.4540000000000002,0.91,0.544
199000,1.4540000000000002,0.914,0.54
200000,-0.07599999999999996,0.924,-1.0
201000,1.429,0.926,0.503
202000,1.452,0.92,0.532
203000,1.423,0.933,0.49
204000,1.4849999999999999,0.949,0.536
205000,1.468,0.93,0.538
206000,1.4420000000000002,0.882,0.56
207000,-0.42600000000000005,-1.0,0.574
208000,1.479,0.914,0.565
209000,-0.06799999999999995,0.932,-1.0
210000,1.4460000000000002,0.917,0.529
211000,1.484,0.915,0.569
212000,1.472,0.936,0.536
213000,1.431,0.908,0.523
214000,0.57,0.0,0.57
215000,1.468,0.915,0.553
216000,1.4340000000000002,0.926,0.508
217000,1.42,0.909,0.511
218000,1.371,0.847,0.524
219000,1.483,0.919,0.564
220000,0.548,0.0,0.548
221000,0.545,0.0,0.545
222000,1.445,0.934,0.511
223000,1.558,1.0,0.558
224000,1.484,0.926,0.558
225000,1.459,0.907,0.552
226000,1.468,0.919,0.549
227000,1.47,0.898,0.572
228000,1.4849999999999999,0.943,0.542
229000,1.538,1.0,0.538
230000,1.486,0.923,0.563
231000,1.4,0.882,0.518
232000,1.4700000000000002,0.923,0.547
233000,-0.08299999999999996,0.917,-1.0
234000,1.508,0.936,0.572
235000,1.46,0.943,0.517
236000,1.461,0.932,0.529
237000,1.436,0.903,0.533
238000,1.334,0.855,0.479
239000,-0.07499999999999996,0.925,-1.0
240000,1.456,0.916,0.54
241000,1.46,0.923,0.537
242000,1.5030000000000001,0.927,0.576
243000,1.505,0.925,0.58
244000,1.475,0.934,0.541
245000,1.449,0.929,0.52
246000,1.427,0.914,0.513
247000,1.467,0.912,0.555
248000,1.487,0.93,0.557
249000,1.416,0.93,0.486
250000,1.3820000000000001,0.917,0.465
251000,1.468,0.896,0.572
252000,1.4460000000000002,0.934,0.512
253000,1.5070000000000001,0.959,0.548
254000,1.525,1.0,0.525
255000,1.415,0.902,0.513
256000,1.437,0.925,0.512
257000,1.513,0.944,0.569
258000,1.456,0.922,0.534
259000,1.501,0.935,0.566
260000,1.4689999999999999,0.938,0.531
261000,1.435,0.947,0.488
262000,1.49,0.947,0.543
263000,1.419,0.919,0.5
264000,1.4100000000000001,0.908,0.502
265000,1.435,0.886,0.549
266000,1.396,0.915,0.481
267000,1.459,0.938,0.521
268000,1.4809999999999999,0.945,0.536
269000,1.461,0.933,0.528
270000,1.403,0.924,0.479
271000,1.448,0.907,0.541
272000,1.474,0.948,0.526
273000,1.441,0.923,0.518
274000,1.445,0.937,0.508
275000,1.496,0.909,0.587
276000,1.418,0.938,0.48
277000,1.472,0.918,0.554
278000,1.55,1.0,0.55
279000,0.0,1.0,-1.0
280000,1.465,0.93,0.535
281000,-0.06499999999999995,0.935,-1.0
282000,1.414,0.947,0.467
283000,1.456,0.931,0.525
284000,1.467,0.933,0.534
285000,1.3849999999999998,0.821,0.564
286000,1.439,0.87,0.569
287000,1.437,0.905,0.532
288000,1.4700000000000002,0.918,0.552
289000,1.496,0.931,0.565
290000,1.4740000000000002,0.926,0.548
291000,1.448,0.917,0.531
292000,1.365,0.866,0.499
293000,1.4500000000000002,0.929,0.521
294000,1.443,0.933,0.51
295000,1.436,0.928,0.508
296000,1.537,1.0,0.537
297000,1.483,0.945,0.538
298000,1.4580000000000002,0.901,0.557
299000,-0.131,0.869,-1.0
300000,1.478,0.94,0.538
301000,1.459,0.928,0.531
302000,1.465,0.917,0.548
303000,1.437,0.927,0.51
304000,1.388,0.913,0.475
305000,1.415,0.918,0.497
306000,1.504,1.0,0.504
307000,1.393,0.915,0.478
308000,1.4660000000000002,0.908,0.558
309000,1.408,0.923,0.485
310000,1.403,0.916,0.487
311000,1.469,0.921,0.548
312000,1.423,0.942,0.481
