,dqn_sum,dqn_pid_0,dqn_pid_1
833000,1.305,0.954,0.351
834000,1.2510000000000001,0.935,0.316
835000,1.221,0.887,0.334
836000,1.3,0.906,0.394
837000,1.327,0.941,0.386
838000,1.305,0.938,0.367
839000,1.2590000000000001,0.917,0.342
840000,1.315,0.903,0.412
841000,1.295,0.923,0.372
842000,1.29,0.91,0.38
843000,0.374,0.0,0.374
844000,1.326,0.925,0.401
845000,0.395,0.0,0.395
846000,1.342,0.93,0.412
847000,1.288,0.917,0.371
848000,1.296,0.933,0.363
849000,1.291,0.907,0.384
850000,1.377,1.0,0.377
851000,1.229,0.898,0.331
852000,-0.09499999999999997,0.905,-1.0
853000,1.282,0.912,0.37
854000,1.242,0.931,0.311
855000,-0.09399999999999997,0.906,-1.0
856000,0.374,0.0,0.374
857000,1.2510000000000001,0.911,0.34
858000,1.33,0.949,0.381
859000,1.403,1.0,0.403
860000,1.2930000000000001,0.914,0.379
861000,1.3210000000000002,0.932,0.389
862000,1.2590000000000001,0.923,0.336
863000,1.3090000000000002,0.927,0.382
864000,1.197,0.926,0.271
865000,1.27,0.936,0.334
866000,1.303,0.897,0.406
867000,1.263,0.899,0.364
868000,0.912,0.912,0.0
869000,-0.05600000000000005,0.944,-1.0
870000,-0.636,-1.0,0.364
871000,1.181,0.898,0.283
872000,1.334,0.926,0.408
873000,1.2029999999999998,0.94,0.263
874000,1.271,0.914,0.357
875000,1.244,0.912,0.332
876000,1.345,0.936,0.409
877000,1.352,0.919,0.433
878000,1.322,0.899,0.423
879000,1.2970000000000002,0.932,0.365
880000,1.292,0.913,0.379
881000,1.2510000000000001,0.91,0.341
882000,-0.611,-1.0,0.389
883000,1.29,0.939,0.351
884000,-0.06299999999999994,0.937,-1.0
885000,1.199,0.891,0.308
886000,-0.06499999999999995,0.935,-1.0
887000,1.268,0.929,0.339
888000,1.274,0.936,0.338
889000,1.2570000000000001,0.903,0.354
890000,1.271,0.926,0.345
891000,1.299,0.925,0.374
892000,1.288,0.924,0.364
893000,1.311,0.922,0.389
894000,1.286,0.917,0.369
895000,1.233,0.889,0.344
896000,1.1380000000000001,0.904,0.234
897000,1.3,0.905,0.395
898000,-0.06699999999999995,0.933,-1.0
899000,1.249,0.906,0.343
900000,1.2650000000000001,0.935,0.33
901000,1.279,0.928,0.351
902000,1.21,0.922,0.288
903000,1.256,0.898,0.358
904000,1.272,0.92,0.352
905000,1.237,0.923,0.314
906000,1.272,0.913,0.359
907000,1.393,1.0,0.393
908000,1.272,0.914,0.358
909000,0.311,0.0,0.311
910000,0.407,0.0,0.407
911000,1.3940000000000001,1.0,0.394
912000,1.274,1.0,0.274
913000,1.288,0.928,0.36
914000,1.238,0.93,0.308
915000,1.393,1.0,0.393
916000,1.28,0.922,0.358
917000,1.237,0.916,0.321
918000,1.232,0.934,0.298
919000,1.173,0.94,0.233
920000,1.2770000000000001,0.926,0.351
921000,1.246,0.929,0.317
922000,1.258,0.916,0.342
923000,1.2890000000000001,0.916,0.373
924000,1.2650000000000001,0.921,0.344
925000,1.246,0.932,0.314
926000,1.295,0.921,0.374
927000,1.343,0.917,0.426
928000,1.2530000000000001,0.92,0.333
929000,1.0,1.0,0.0
930000,1.272,0.923,0.349
931000,0.371,0.0,0.371
932000,1.284,0.931,0.353
933000,1.3010000000000002,0.93,0.371
934000,0.932,0.932,0.0
935000,1.268,0.921,0.347
936000,1.343,0.938,0.405
937000,1.26,0.927,0.333
938000,1.181,0.89,0.291
939000,1.286,0.903,0.383
940000,1.302,0.934,0.368
941000,1.319,0.927,0.392
942000,1.276,0.924,0.352
943000,0.876,0.876,0.0
944000,1.22,0.928,0.292
945000,1.338,1.0,0.338
946000,1.258,0.927,0.331
947000,0.357,0.0,0.357
948000,1.235,0.927,0.308
949000,1.224,0.886,0.338
950000,-0.06399999999999995,0.936,-1.0
951000,1.242,0.895,0.347
952000,-0.09599999999999997,0.904,-1.0
953000,1.254,0.916,0.338
954000,-1.0,0.0,-1.0
955000,1.3290000000000002,0.931,0.398
956000,1.286,0.934,0.352
957000,1.337,0.917,0.42
958000,1.329,0.947,0.382
959000,1.235,0.931,0.304
960000,0.381,0.0,0.381
961000,1.245,0.917,0.328
962000,1.222,0.903,0.319
963000,1.252,0.92,0.332
964000,1.28,0.927,0.353
965000,1.366,1.0,0.366
966000,1.237,0.934,0.303
967000,0.921,0.921,0.0
968000,1.169,0.906,0.263
969000,1.327,0.946,0.381
970000,1.28,0.942,0.338
971000,-1.0,0.0,-1.0
972000,1.309,0.939,0.37
973000,1.2510000000000001,0.926,0.325
974000,1.2590000000000001,0.934,0.325
975000,-0.134,0.866,-1.0
976000,1.177,0.93,0.247
977000,1.318,0.933,0.385
978000,1.23,0.923,0.307
979000,1.271,0.908,0.363
980000,0.283,0.0,0.283
981000,1.221,0.912,0.309
982000,1.3090000000000002,0.935,0.374
983000,-0.08499999999999996,0.915,-1.0
984000,1.229,0.924,0.305
985000,1.2670000000000001,0.936,0.331
986000,1.267,0.922,0.345
987000,1.278,0.929,0.349
988000,1.31,0.937,0.373
989000,1.196,0.911,0.285
990000,1.264,0.921,0.343
991000,1.236,0.927,0.309
992000,1.284,0.935,0.349
993000,1.267,0.914,0.353
994000,1.2510000000000001,0.929,0.322
995000,1.299,0.917,0.382
996000,-0.10499999999999998,0.895,-1.0
997000,1.258,0.911,0.347
998000,1.1880000000000002,0.93,0.258
999000,1.1520000000000001,0.904,0.248
1000000,1.256,0.908,0.348
