,pid_0,pid_1,mean
100000,0.786,-0.12,0.333
200000,0.772,-0.4,0.186
300000,0.792,-0.184,0.30400000000000005
400000,0.844,-0.21,0.317
500000,0.806,-0.386,0.21000000000000002
600000,0.856,-0.468,0.19399999999999998
700000,0.858,-0.4,0.22899999999999998
800000,0.862,-0.532,0.16499999999999998
900000,0.866,-0.266,0.3
1000000,0.764,-0.592,0.08600000000000002
1100000,0.7,-0.094,0.303
1200000,0.624,0.028,0.326
1300000,0.902,-0.088,0.40700000000000003
1400000,0.83,-0.144,0.34299999999999997
1500000,0.74,-0.104,0.318
1600000,0.806,-0.504,0.15100000000000002
1700000,0.918,0.312,0.615
1800000,0.932,-0.01,0.461
1900000,0.896,0.028,0.462
2000000,0.866,-0.646,0.10999999999999999
2100000,0.844,-0.622,0.11099999999999999
2200000,0.878,-0.612,0.133
2300000,0.842,-0.614,0.11399999999999999
2400000,0.858,-0.628,0.11499999999999999
2500000,0.858,-0.58,0.139
2600000,0.852,-0.568,0.14200000000000002
2700000,0.858,-0.602,0.128
2800000,0.86,-0.574,0.14300000000000002
2900000,0.872,-0.568,0.15200000000000002
3000000,0.858,-0.602,0.128
3100000,0.89,-0.606,0.14200000000000002
3200000,0.878,-0.59,0.14400000000000002
3300000,0.858,-0.63,0.11399999999999999
3400000,0.852,-0.628,0.11199999999999999
3500000,0.862,-0.58,0.14100000000000001
3600000,0.874,-0.564,0.15500000000000003
3700000,0.88,-0.606,0.137
3800000,0.872,-0.582,0.14500000000000002
3900000,0.844,-0.61,0.11699999999999999
4000000,0.828,-0.562,0.13299999999999995
4100000,0.84,-0.6,0.12
4200000,0.862,-0.564,0.14900000000000002
4300000,0.874,-0.562,0.15599999999999997
4400000,0.84,-0.558,0.14099999999999996
4500000,0.874,-0.558,0.15799999999999997
4600000,0.856,-0.626,0.11499999999999999
4700000,0.874,-0.632,0.121
4800000,0.874,-0.61,0.132
4900000,0.89,-0.588,0.15100000000000002
5000000,0.864,-0.666,0.09899999999999998
5100000,0.86,-0.566,0.14700000000000002
5200000,0.858,-0.584,0.137
5300000,0.876,-0.6,0.138
5400000,0.87,-0.57,0.15000000000000002
5500000,0.842,-0.548,0.14699999999999996
5600000,0.856,-0.602,0.127
5700000,0.874,-0.556,0.15899999999999997
5800000,0.896,-0.628,0.134
5900000,0.864,-0.582,0.14100000000000001
6000000,0.866,-0.586,0.14
6100000,0.85,-0.604,0.123
6200000,0.862,-0.64,0.11099999999999999
6300000,0.872,-0.624,0.124
6400000,0.878,-0.576,0.15100000000000002
6500000,0.858,-0.574,0.14200000000000002
6600000,0.872,-0.536,0.16799999999999998
6700000,0.86,-0.592,0.134
6800000,0.86,-0.6,0.13
6900000,0.858,-0.572,0.14300000000000002
7000000,0.854,-0.594,0.13
7100000,0.868,-0.562,0.15299999999999997
7200000,0.892,-0.568,0.16200000000000003
7300000,0.852,-0.612,0.12
7400000,0.87,-0.554,0.15799999999999997
7500000,0.846,-0.626,0.10999999999999999
7600000,0.86,-0.576,0.14200000000000002
7700000,0.862,-0.568,0.14700000000000002
7800000,0.862,-0.54,0.16099999999999998
7900000,0.864,-0.594,0.135
8000000,0.824,-0.63,0.09699999999999998
8100000,0.848,-0.594,0.127
8200000,0.876,-0.596,0.14
8300000,0.852,-0.558,0.14699999999999996
8400000,0.892,-0.572,0.16000000000000003
8500000,0.862,-0.54,0.16099999999999998
8600000,0.868,-0.55,0.15899999999999997
8700000,0.854,-0.564,0.14500000000000002
8800000,0.838,-0.584,0.127
8900000,0.868,-0.582,0.14300000000000002
9000000,0.848,-0.582,0.133
9100000,0.848,-0.626,0.11099999999999999
9200000,0.85,-0.556,0.14699999999999996
9300000,0.856,-0.602,0.127
9400000,0.89,-0.594,0.14800000000000002
9500000,0.848,-0.586,0.131
9600000,0.868,-0.606,0.131
9700000,0.874,-0.636,0.119
9800000,0.868,-0.556,0.15599999999999997
9900000,0.866,-0.534,0.16599999999999998
10000000,0.878,-0.57,0.15400000000000003
