,pid_0,pid_1,mean
100000,0.113,-0.421,-0.154
200000,0.626,-0.313,0.1565
300000,0.646,-0.315,0.1655
400000,0.697,-0.254,0.22149999999999997
500000,0.655,-0.294,0.18050000000000002
600000,0.485,-0.271,0.10699999999999998
700000,0.4,-0.334,0.033
800000,0.625,-0.218,0.20350000000000001
900000,0.518,-0.332,0.093
1000000,0.395,-0.355,0.020000000000000018
1100000,0.476,-0.236,0.12
1200000,0.503,-0.277,0.11299999999999999
1300000,0.613,-0.458,0.07749999999999999
1400000,0.61,-0.232,0.189
1500000,0.797,-0.114,0.3415
1600000,0.719,-0.074,0.3225
1700000,0.56,-0.173,0.19350000000000003
1800000,0.453,-0.234,0.1095
1900000,0.489,-0.133,0.178
2000000,0.432,-0.108,0.162
2100000,0.49,-0.353,0.0685
2200000,0.664,-0.372,0.14600000000000002
2300000,0.746,-0.299,0.2235
2400000,0.663,-0.248,0.20750000000000002
2500000,0.786,-0.363,0.21150000000000002
2600000,0.702,-0.052,0.32499999999999996
2700000,0.459,-0.255,0.10200000000000001
2800000,0.834,-0.336,0.24899999999999997
2900000,0.701,-0.138,0.2815
3000000,0.613,-0.24,0.1865
3100000,0.811,-0.267,0.272
3200000,0.849,-0.261,0.294
3300000,0.712,-0.345,0.1835
3400000,0.861,-0.307,0.277
3500000,0.796,-0.34,0.228
3600000,0.797,-0.384,0.20650000000000002
3700000,0.825,-0.28,0.27249999999999996
3800000,0.792,-0.313,0.23950000000000002
3900000,0.671,-0.251,0.21000000000000002
4000000,0.672,-0.283,0.19450000000000003
4100000,0.709,-0.27,0.21949999999999997
4200000,0.772,-0.264,0.254
4300000,0.752,-0.335,0.2085
4400000,0.775,-0.376,0.1995
4500000,0.882,-0.281,0.3005
4600000,0.738,-0.274,0.23199999999999998
4700000,0.761,-0.21,0.2755
4800000,0.797,-0.172,0.3125
4900000,0.847,-0.335,0.256
5000000,0.772,-0.305,0.2335
5100000,0.758,-0.163,0.2975
5200000,0.823,-0.222,0.3005
5300000,0.836,-0.277,0.27949999999999997
5400000,0.803,-0.286,0.25850000000000006
5500000,0.764,-0.213,0.2755
5600000,0.788,-0.272,0.258
5700000,0.827,-0.31,0.25849999999999995
5800000,0.8,-0.227,0.28650000000000003
5900000,0.725,-0.238,0.2435
6000000,0.791,-0.336,0.2275
6100000,0.746,-0.299,0.2235
6200000,0.735,-0.404,0.16549999999999998
6300000,0.85,-0.357,0.2465
6400000,0.778,-0.303,0.23750000000000002
6500000,0.764,-0.272,0.246
6600000,0.811,-0.263,0.274
6700000,0.813,-0.259,0.27699999999999997
6800000,0.775,-0.214,0.2805
6900000,0.77,-0.252,0.259
7000000,0.789,-0.243,0.273
7100000,0.742,-0.241,0.2505
7200000,0.745,-0.3,0.2225
7300000,0.749,-0.288,0.2305
7400000,0.764,-0.337,0.2135
7500000,0.773,-0.322,0.2255
7600000,0.764,-0.349,0.20750000000000002
7700000,0.779,-0.297,0.24100000000000002
7800000,0.731,-0.364,0.1835
7900000,0.743,-0.353,0.195
8000000,0.648,-0.43,0.10900000000000001
8100000,0.79,-0.417,0.18650000000000003
8200000,0.678,-0.413,0.13250000000000003
8300000,0.588,-0.39,0.09899999999999998
8400000,0.643,-0.383,0.13
8500000,0.703,-0.43,0.13649999999999998
8600000,0.713,-0.473,0.12
8700000,0.707,-0.418,0.1445
8800000,0.559,-0.404,0.07750000000000001
8900000,0.659,-0.383,0.138
9000000,0.687,-0.384,0.15150000000000002
9100000,0.739,-0.421,0.159
9200000,0.609,-0.306,0.1515
9300000,0.744,-0.391,0.1765
9400000,0.746,-0.373,0.1865
9500000,0.649,-0.349,0.15000000000000002
9600000,0.675,-0.379,0.14800000000000002
9700000,0.726,-0.388,0.16899999999999998
9800000,0.715,-0.387,0.16399999999999998
9900000,0.665,-0.332,0.1665
10000000,0.69,-0.334,0.17799999999999996
