,pid_0,pid_1,mean
100000,0.502,-0.269,0.11649999999999999
200000,0.335,-0.291,0.02200000000000002
300000,0.141,-0.421,-0.14
400000,0.09,-0.455,-0.1825
500000,0.51,-0.373,0.0685
600000,0.525,-0.215,0.15500000000000003
700000,0.011,-0.427,-0.208
800000,0.638,-0.186,0.226
900000,0.436,-0.504,-0.034
1000000,0.62,-0.422,0.099
1100000,0.705,-0.373,0.16599999999999998
1200000,0.562,-0.229,0.16650000000000004
1300000,0.447,-0.121,0.163
1400000,0.729,0.168,0.4485
1500000,0.583,-0.365,0.10899999999999999
1600000,0.454,-0.326,0.064
1700000,0.692,-0.324,0.18399999999999997
1800000,0.679,-0.395,0.14200000000000002
1900000,0.392,-0.445,-0.026499999999999996
2000000,0.686,-0.324,0.18100000000000002
2100000,0.7,-0.362,0.16899999999999998
2200000,0.258,-0.367,-0.05449999999999999
2300000,0.68,-0.272,0.20400000000000001
2400000,0.526,-0.294,0.11600000000000002
2500000,0.55,-0.326,0.11200000000000002
2600000,0.435,-0.162,0.1365
2700000,0.268,-0.36,-0.045999999999999985
2800000,0.344,-0.265,0.03949999999999998
2900000,0.724,-0.327,0.19849999999999998
3000000,0.606,-0.26,0.173
3100000,0.574,-0.355,0.10949999999999999
3200000,0.728,-0.231,0.2485
3300000,0.558,-0.489,0.03450000000000003
3400000,0.66,-0.1,0.28
3500000,0.551,-0.255,0.14800000000000002
3600000,0.568,-0.089,0.2395
3700000,0.685,-0.351,0.16700000000000004
3800000,0.681,-0.355,0.16300000000000003
3900000,0.423,-0.149,0.137
4000000,0.499,-0.201,0.149
4100000,0.775,-0.153,0.311
4200000,0.733,-0.232,0.2505
4300000,0.485,-0.194,0.1455
4400000,0.671,-0.207,0.23200000000000004
4500000,0.624,-0.402,0.11099999999999999
4600000,0.5,-0.217,0.14150000000000001
4700000,0.538,-0.359,0.08950000000000002
4800000,0.489,-0.302,0.0935
4900000,0.617,-0.195,0.211
5000000,0.585,-0.232,0.1765
5100000,0.632,-0.302,0.165
5200000,0.514,-0.197,0.1585
5300000,0.816,-0.319,0.24849999999999997
5400000,0.76,-0.227,0.2665
5500000,0.686,-0.435,0.12550000000000003
5600000,0.574,-0.335,0.11949999999999997
5700000,0.823,-0.346,0.2385
5800000,0.799,-0.401,0.199
5900000,0.788,-0.336,0.226
6000000,0.626,-0.291,0.1675
6100000,0.692,-0.309,0.19149999999999998
6200000,0.568,-0.149,0.20949999999999996
6300000,0.426,-0.299,0.0635
6400000,0.5,-0.288,0.10600000000000001
6500000,0.544,-0.382,0.08100000000000002
6600000,0.666,-0.418,0.12400000000000003
6700000,0.814,-0.429,0.19249999999999998
6800000,0.696,-0.393,0.15149999999999997
6900000,0.728,-0.417,0.1555
7000000,0.628,-0.207,0.21050000000000002
7100000,0.778,-0.364,0.20700000000000002
7200000,0.704,-0.242,0.23099999999999998
7300000,0.698,-0.196,0.251
7400000,0.535,-0.29,0.12250000000000003
7500000,0.604,-0.225,0.1895
7600000,0.484,-0.224,0.13
7700000,0.561,-0.226,0.16750000000000004
7800000,0.589,-0.236,0.1765
7900000,0.616,-0.19,0.213
8000000,0.293,-0.276,0.00849999999999998
8100000,0.296,-0.315,-0.009500000000000008
8200000,0.288,-0.317,-0.014500000000000013
8300000,0.379,-0.276,0.05149999999999999
8400000,0.362,-0.219,0.0715
8500000,0.572,-0.271,0.15049999999999997
8600000,0.658,-0.185,0.23650000000000002
8700000,0.773,-0.239,0.267
8800000,0.331,-0.219,0.05600000000000001
8900000,0.185,-0.373,-0.094
9000000,0.589,-0.31,0.13949999999999999
9100000,0.605,-0.265,0.16999999999999998
9200000,0.591,-0.303,0.144
9300000,0.634,-0.23,0.202
9400000,0.68,-0.367,0.15650000000000003
9500000,0.508,-0.195,0.1565
9600000,0.476,-0.292,0.092
9700000,0.354,-0.346,0.0040000000000000036
9800000,0.348,-0.43,-0.04100000000000001
9900000,0.106,-0.449,-0.1715
10000000,0.606,-0.31,0.148
