,pid_0,pid_1,mean
100000,0.964,-0.306,0.32899999999999996
200000,0.872,-0.046,0.413
300000,0.824,0.414,0.619
400000,0.87,0.022,0.446
500000,0.972,-0.014,0.479
600000,0.94,-0.138,0.40099999999999997
700000,0.948,0.272,0.61
800000,0.926,0.082,0.504
900000,0.764,-0.254,0.255
1000000,0.922,0.258,0.5900000000000001
1100000,0.838,0.288,0.563
1200000,0.886,0.12,0.503
1300000,0.922,0.298,0.61
1400000,0.758,-0.2,0.279
1500000,0.794,-0.076,0.35900000000000004
1600000,0.88,-0.164,0.358
1700000,0.902,0.222,0.562
1800000,0.964,0.256,0.61
1900000,0.948,0.36,0.6539999999999999
2000000,0.926,-0.098,0.41400000000000003
2100000,0.912,0.078,0.495
2200000,0.932,-0.002,0.465
2300000,0.956,-0.146,0.40499999999999997
2400000,0.92,0.178,0.549
2500000,0.958,0.054,0.506
2600000,0.83,0.206,0.518
2700000,0.89,0.312,0.601
2800000,0.954,0.278,0.616
2900000,0.958,0.526,0.742
3000000,0.9,-0.23,0.335
3100000,0.848,-0.04,0.40399999999999997
3200000,0.898,-0.258,0.32
3300000,0.658,-0.084,0.28700000000000003
3400000,0.744,-0.326,0.209
3500000,0.73,-0.158,0.286
3600000,0.838,-0.096,0.371
3700000,0.83,-0.01,0.41
3800000,0.958,-0.06,0.44899999999999995
3900000,0.98,-0.184,0.398
4000000,0.884,-0.124,0.38
4100000,0.762,-0.194,0.28400000000000003
4200000,0.926,-0.034,0.446
4300000,0.71,-0.044,0.33299999999999996
4400000,0.786,-0.126,0.33
4500000,0.83,-0.122,0.354
4600000,0.516,-0.162,0.177
4700000,0.902,0.14,0.521
4800000,0.54,-0.05,0.24500000000000002
4900000,0.864,-0.016,0.424
5000000,0.806,-0.154,0.326
5100000,0.906,-0.442,0.232
5200000,0.886,-0.064,0.41100000000000003
5300000,0.936,-0.09,0.42300000000000004
5400000,0.854,-0.036,0.409
5500000,0.898,-0.498,0.2
5600000,0.52,-0.16,0.18
5700000,0.846,-0.13,0.358
5800000,0.72,-0.508,0.10599999999999998
5900000,0.776,-0.354,0.21100000000000002
6000000,0.714,-0.326,0.19399999999999998
6100000,0.482,0.146,0.314
6200000,0.736,-0.136,0.3
6300000,0.78,0.022,0.401
6400000,0.354,-0.27,0.04199999999999998
6500000,0.212,-0.44,-0.114
6600000,0.552,-0.406,0.07300000000000001
6700000,0.784,-0.058,0.363
6800000,0.794,-0.072,0.36100000000000004
6900000,0.816,-0.188,0.31399999999999995
7000000,0.796,-0.228,0.28400000000000003
7100000,0.704,-0.26,0.22199999999999998
7200000,0.848,-0.288,0.28
7300000,0.834,-0.074,0.38
7400000,0.846,-0.164,0.34099999999999997
7500000,0.874,-0.072,0.401
7600000,0.812,0.004,0.40800000000000003
7700000,0.61,0.122,0.366
7800000,0.86,-0.14,0.36
7900000,0.838,-0.086,0.376
8000000,0.754,-0.1,0.327
8100000,0.786,-0.082,0.35200000000000004
8200000,0.806,0.108,0.457
8300000,0.752,-0.154,0.299
8400000,0.802,0.132,0.467
8500000,0.756,-0.062,0.347
8600000,0.76,-0.042,0.359
8700000,0.798,-0.168,0.315
8800000,0.736,0.146,0.441
8900000,0.69,0.056,0.373
9000000,0.882,0.034,0.458
9100000,0.702,0.094,0.39799999999999996
9200000,0.694,-0.07,0.31199999999999994
9300000,0.706,0.118,0.412
9400000,0.688,0.058,0.373
9500000,0.674,-0.06,0.30700000000000005
9600000,0.74,-0.016,0.362
9700000,0.662,-0.23,0.21600000000000003
9800000,0.854,-0.202,0.32599999999999996
9900000,0.828,-0.366,0.23099999999999998
10000000,0.798,-0.268,0.265
