,pid_0,pid_1,mean
100000,0.414,-0.401,0.006499999999999978
200000,0.405,-0.256,0.07450000000000001
300000,0.815,-0.293,0.261
400000,0.66,-0.426,0.11700000000000002
500000,0.825,-0.3,0.26249999999999996
600000,0.441,-0.263,0.089
700000,0.584,-0.272,0.15599999999999997
800000,0.827,-0.101,0.363
900000,0.263,-0.272,-0.004500000000000004
1000000,0.374,-0.131,0.1215
1100000,0.814,-0.209,0.3025
1200000,0.813,-0.31,0.25149999999999995
1300000,0.82,-0.285,0.26749999999999996
1400000,0.808,-0.063,0.37250000000000005
1500000,0.637,-0.164,0.2365
1600000,0.671,-0.305,0.18300000000000002
1700000,0.484,-0.284,0.1
1800000,0.77,-0.32,0.225
1900000,0.553,-0.341,0.10600000000000001
2000000,0.607,-0.355,0.126
2100000,0.466,-0.174,0.14600000000000002
2200000,0.71,-0.372,0.16899999999999998
2300000,0.788,-0.303,0.24250000000000002
2400000,0.61,-0.293,0.1585
2500000,0.631,-0.23,0.2005
2600000,0.904,-0.305,0.2995
2700000,0.652,-0.409,0.12150000000000002
2800000,0.622,-0.295,0.1635
2900000,0.729,-0.435,0.147
3000000,0.662,-0.389,0.1365
3100000,0.672,-0.415,0.12850000000000003
3200000,0.391,-0.342,0.024499999999999994
3300000,0.405,-0.399,0.0030000000000000027
3400000,0.602,-0.369,0.11649999999999999
3500000,0.769,-0.399,0.185
3600000,0.522,-0.381,0.07050000000000001
3700000,0.583,-0.181,0.20099999999999998
3800000,0.486,-0.136,0.175
3900000,0.65,-0.278,0.186
4000000,0.637,-0.243,0.197
4100000,0.447,-0.176,0.1355
4200000,0.579,-0.22,0.1795
4300000,0.795,-0.184,0.3055
4400000,0.746,-0.384,0.181
4500000,0.802,-0.253,0.2745
4600000,0.464,-0.26,0.10200000000000001
4700000,0.849,-0.21,0.3195
4800000,0.878,-0.2,0.33899999999999997
4900000,0.849,-0.201,0.32399999999999995
5000000,0.871,-0.292,0.2895
5100000,0.676,-0.379,0.14850000000000002
5200000,0.684,-0.325,0.17950000000000002
5300000,0.62,-0.192,0.214
5400000,0.637,-0.361,0.138
5500000,0.65,-0.269,0.1905
5600000,0.63,-0.247,0.1915
5700000,0.653,-0.16,0.2465
5800000,0.524,-0.17,0.177
5900000,0.685,-0.266,0.20950000000000002
6000000,0.758,-0.225,0.2665
6100000,0.724,-0.265,0.22949999999999998
6200000,0.364,-0.416,-0.025999999999999995
6300000,0.712,-0.359,0.1765
6400000,0.735,-0.361,0.187
6500000,0.792,-0.23,0.281
6600000,0.68,-0.183,0.24850000000000003
6700000,0.708,-0.215,0.2465
6800000,0.678,-0.245,0.21650000000000003
6900000,0.714,-0.283,0.2155
7000000,0.813,-0.151,0.33099999999999996
7100000,0.788,-0.186,0.30100000000000005
7200000,0.786,-0.094,0.34600000000000003
7300000,0.744,-0.265,0.2395
7400000,0.78,-0.291,0.24450000000000002
7500000,0.623,-0.238,0.1925
7600000,0.848,-0.272,0.288
7700000,0.673,-0.432,0.12050000000000002
7800000,0.664,-0.243,0.21050000000000002
7900000,0.621,-0.341,0.13999999999999999
8000000,0.7,-0.337,0.18149999999999997
8100000,0.526,-0.331,0.0975
8200000,0.789,-0.341,0.224
8300000,0.701,-0.322,0.18949999999999997
8400000,0.685,-0.269,0.20800000000000002
8500000,0.649,-0.228,0.21050000000000002
8600000,0.731,-0.128,0.3015
8700000,0.694,-0.269,0.21249999999999997
8800000,0.777,-0.255,0.261
8900000,0.752,-0.246,0.253
9000000,0.7,-0.206,0.247
9100000,0.735,-0.156,0.2895
9200000,0.824,-0.268,0.27799999999999997
9300000,0.791,-0.195,0.29800000000000004
9400000,0.823,-0.138,0.34249999999999997
9500000,0.722,-0.156,0.283
9600000,0.799,-0.267,0.266
9700000,0.724,-0.253,0.2355
9800000,0.802,-0.267,0.2675
9900000,0.788,-0.292,0.24800000000000003
10000000,0.767,-0.213,0.277
