,pid_0,pid_1,mean
100000,0.674,-0.284,0.19500000000000003
200000,0.643,-0.351,0.14600000000000002
300000,0.777,-0.309,0.234
400000,0.674,-0.138,0.268
500000,0.476,-0.186,0.145
600000,0.716,-0.279,0.21849999999999997
700000,0.685,-0.248,0.21850000000000003
800000,0.5,-0.225,0.1375
900000,0.425,-0.353,0.036000000000000004
1000000,0.429,-0.447,-0.009000000000000008
1100000,0.791,-0.436,0.17750000000000002
1200000,0.692,-0.269,0.21149999999999997
1300000,0.763,-0.117,0.323
1400000,0.691,-0.272,0.20949999999999996
1500000,0.573,-0.343,0.11499999999999996
1600000,0.614,-0.312,0.151
1700000,0.627,-0.4,0.11349999999999999
1800000,0.704,-0.374,0.16499999999999998
1900000,0.619,-0.174,0.2225
2000000,0.745,-0.269,0.238
2100000,0.832,-0.282,0.275
2200000,0.785,-0.253,0.266
2300000,0.729,-0.335,0.19699999999999998
2400000,0.698,-0.345,0.1765
2500000,0.75,-0.302,0.224
2600000,0.795,-0.429,0.18300000000000002
2700000,0.811,-0.439,0.18600000000000003
2800000,0.769,-0.353,0.20800000000000002
2900000,0.797,-0.484,0.15650000000000003
3000000,0.682,-0.423,0.12950000000000003
3100000,0.549,-0.481,0.03400000000000003
3200000,0.762,-0.232,0.265
3300000,0.705,-0.47,0.1175
3400000,0.52,-0.386,0.067
3500000,0.55,-0.314,0.11800000000000002
3600000,0.689,-0.465,0.11199999999999996
3700000,0.08,-0.492,-0.206
3800000,0.797,-0.273,0.262
3900000,0.708,-0.222,0.243
4000000,0.872,-0.233,0.3195
4100000,0.848,-0.321,0.26349999999999996
4200000,0.763,-0.339,0.212
4300000,0.83,-0.156,0.33699999999999997
4400000,0.803,-0.235,0.28400000000000003
4500000,0.859,-0.18,0.3395
4600000,0.568,-0.317,0.12549999999999997
4700000,0.589,-0.329,0.12999999999999998
4800000,0.803,-0.191,0.30600000000000005
4900000,0.668,-0.199,0.23450000000000001
5000000,0.536,-0.436,0.05000000000000002
5100000,0.794,-0.444,0.17500000000000002
5200000,0.73,-0.251,0.2395
5300000,0.662,-0.401,0.1305
5400000,0.533,-0.407,0.06300000000000003
5500000,0.515,-0.475,0.020000000000000018
5600000,0.769,-0.34,0.2145
5700000,0.715,-0.269,0.22299999999999998
5800000,0.643,-0.369,0.137
5900000,0.758,-0.26,0.249
6000000,0.579,-0.358,0.11049999999999999
6100000,0.695,-0.445,0.12499999999999997
6200000,0.622,-0.351,0.1355
6300000,0.738,-0.265,0.2365
6400000,0.687,-0.358,0.16450000000000004
6500000,0.655,-0.402,0.1265
6600000,0.737,-0.376,0.1805
6700000,0.795,-0.343,0.226
6800000,0.648,-0.322,0.163
6900000,0.776,-0.238,0.269
7000000,0.834,-0.236,0.299
7100000,0.705,-0.386,0.15949999999999998
7200000,0.584,-0.23,0.177
7300000,0.125,-0.451,-0.163
7400000,0.508,-0.388,0.06
7500000,0.5,-0.369,0.0655
7600000,0.593,-0.393,0.09999999999999998
7700000,0.556,-0.404,0.07600000000000001
7800000,0.549,-0.296,0.12650000000000003
7900000,0.785,-0.307,0.23900000000000002
8000000,0.808,-0.416,0.19600000000000004
8100000,0.583,-0.3,0.1415
8200000,0.7,-0.392,0.15399999999999997
8300000,0.676,-0.446,0.11500000000000002
8400000,0.774,-0.356,0.20900000000000002
8500000,0.589,-0.424,0.08249999999999999
8600000,0.603,-0.368,0.1175
8700000,0.456,-0.324,0.066
8800000,0.611,-0.367,0.122
8900000,0.678,-0.305,0.18650000000000003
9000000,0.552,-0.33,0.11100000000000002
9100000,0.736,-0.337,0.19949999999999998
9200000,0.576,-0.412,0.08199999999999999
9300000,0.744,-0.41,0.167
9400000,0.472,-0.418,0.026999999999999996
9500000,0.728,-0.346,0.191
9600000,0.458,-0.478,-0.009999999999999981
9700000,0.56,-0.417,0.07150000000000004
9800000,0.78,-0.304,0.23800000000000002
9900000,0.54,-0.28,0.13
10000000,0.273,-0.363,-0.044999999999999984
