,pid_0,pid_1,mean
100000,0.666,-0.478,0.09400000000000003
200000,0.822,-0.46,0.18099999999999997
300000,0.73,-0.154,0.288
400000,0.696,-0.35,0.173
500000,0.698,0.268,0.483
600000,0.742,-0.188,0.277
700000,0.856,0.136,0.496
800000,0.842,0.004,0.423
900000,0.922,-0.136,0.393
1000000,0.854,-0.124,0.365
1100000,0.896,-0.172,0.362
1200000,0.904,0.222,0.5630000000000001
1300000,0.854,-0.522,0.16599999999999998
1400000,0.952,-0.256,0.348
1500000,0.83,-0.276,0.27699999999999997
1600000,0.802,-0.108,0.34700000000000003
1700000,0.906,0.126,0.516
1800000,0.952,-0.282,0.33499999999999996
1900000,0.966,-0.102,0.432
2000000,0.89,-0.192,0.349
2100000,0.932,-0.004,0.464
2200000,0.93,-0.342,0.29400000000000004
2300000,0.902,-0.104,0.399
2400000,0.814,-0.434,0.18999999999999997
2500000,0.814,-0.146,0.33399999999999996
2600000,0.802,0.046,0.42400000000000004
2700000,0.88,-0.042,0.419
2800000,0.814,0.052,0.433
2900000,0.836,0.182,0.509
3000000,0.844,0.16,0.502
3100000,0.894,0.184,0.539
3200000,0.97,0.164,0.567
3300000,0.97,0.312,0.641
3400000,0.962,0.23,0.596
3500000,0.94,0.25,0.595
3600000,0.916,-0.082,0.41700000000000004
3700000,0.974,-0.012,0.481
3800000,0.926,-0.126,0.4
3900000,0.92,0.074,0.497
4000000,0.918,0.5,0.7090000000000001
4100000,0.938,0.184,0.5609999999999999
4200000,0.826,0.378,0.602
4300000,0.862,0.214,0.538
4400000,0.934,0.39,0.662
4500000,0.924,0.292,0.608
4600000,0.892,0.224,0.558
4700000,0.92,-0.036,0.442
4800000,0.942,0.372,0.657
4900000,0.93,0.378,0.654
5000000,0.962,0.478,0.72
5100000,0.956,0.438,0.697
5200000,0.9,0.366,0.633
5300000,0.98,0.242,0.611
5400000,0.876,0.328,0.602
5500000,0.87,0.5,0.685
5600000,0.958,0.328,0.643
5700000,0.938,0.44,0.689
5800000,0.946,0.496,0.721
5900000,0.898,0.072,0.485
6000000,0.94,0.394,0.667
6100000,0.856,0.362,0.609
6200000,0.884,0.164,0.524
6300000,0.904,0.4,0.652
6400000,0.914,0.246,0.5800000000000001
6500000,0.938,0.134,0.536
6600000,0.818,0.382,0.6
6700000,0.926,0.288,0.607
6800000,0.96,0.186,0.573
6900000,0.936,0.24,0.5880000000000001
7000000,0.924,0.24,0.5820000000000001
7100000,0.96,0.246,0.603
7200000,0.934,0.384,0.659
7300000,0.906,0.23,0.5680000000000001
7400000,0.936,0.522,0.7290000000000001
7500000,0.89,0.27,0.5800000000000001
7600000,0.89,0.226,0.558
7700000,0.904,0.126,0.515
7800000,0.928,0.088,0.508
7900000,0.852,0.076,0.46399999999999997
8000000,0.868,0.38,0.624
8100000,0.86,-0.05,0.40499999999999997
8200000,0.87,-0.204,0.333
8300000,0.918,-0.21,0.35400000000000004
8400000,0.852,0.47,0.661
8500000,0.822,0.422,0.622
8600000,0.81,0.438,0.624
8700000,0.976,0.338,0.657
8800000,0.832,0.064,0.44799999999999995
8900000,0.922,0.322,0.622
9000000,0.952,0.294,0.623
9100000,0.96,0.3,0.63
9200000,0.952,0.224,0.588
9300000,0.97,0.236,0.603
9400000,0.956,0.364,0.6599999999999999
9500000,0.964,0.306,0.635
9600000,0.932,0.39,0.661
9700000,0.952,0.272,0.612
9800000,0.94,0.264,0.602
9900000,0.888,0.386,0.637
10000000,0.866,0.486,0.6759999999999999
