,pid_0,pid_1,mean
100000,0.754,-0.052,0.351
200000,0.782,-0.262,0.26
300000,0.712,0.178,0.44499999999999995
400000,0.734,0.264,0.499
500000,0.862,-0.47,0.196
600000,0.892,-0.314,0.28900000000000003
700000,0.76,-0.516,0.122
800000,0.946,-0.648,0.14899999999999997
900000,0.874,-0.42,0.227
1000000,0.804,-0.364,0.22000000000000003
1100000,0.892,-0.104,0.394
1200000,0.926,-0.436,0.24500000000000002
1300000,0.908,-0.268,0.32
1400000,0.938,-0.51,0.21399999999999997
1500000,0.812,-0.178,0.31700000000000006
1600000,0.708,-0.246,0.23099999999999998
1700000,0.66,-0.074,0.29300000000000004
1800000,0.574,-0.138,0.21799999999999997
1900000,0.868,-0.192,0.33799999999999997
2000000,0.384,0.224,0.304
2100000,0.276,-0.202,0.037000000000000005
2200000,0.774,-0.372,0.201
2300000,0.842,-0.078,0.382
2400000,0.928,-0.072,0.42800000000000005
2500000,0.836,-0.2,0.31799999999999995
2600000,0.778,0.136,0.457
2700000,0.852,-0.35,0.251
2800000,0.838,-0.274,0.282
2900000,0.816,-0.278,0.26899999999999996
3000000,0.858,-0.376,0.241
3100000,0.942,-0.35,0.296
3200000,0.632,-0.21,0.21100000000000002
3300000,0.948,-0.174,0.387
3400000,0.892,-0.322,0.28500000000000003
3500000,0.884,-0.048,0.418
3600000,0.854,-0.13,0.362
3700000,0.848,-0.164,0.34199999999999997
3800000,0.826,-0.206,0.31
3900000,0.742,-0.588,0.07700000000000001
4000000,0.882,0.008,0.445
4100000,0.828,-0.27,0.27899999999999997
4200000,0.842,-0.034,0.40399999999999997
4300000,0.864,-0.318,0.273
4400000,0.722,-0.326,0.19799999999999998
4500000,0.69,-0.154,0.26799999999999996
4600000,0.806,-0.048,0.379
4700000,0.778,0.138,0.458
4800000,0.612,-0.324,0.144
4900000,0.48,-0.41,0.035
5000000,0.884,-0.374,0.255
5100000,0.808,-0.446,0.18100000000000002
5200000,0.944,-0.398,0.27299999999999996
5300000,0.954,-0.466,0.24399999999999997
5400000,0.908,-0.482,0.21300000000000002
5500000,0.94,-0.386,0.27699999999999997
5600000,0.884,-0.5,0.192
5700000,0.924,-0.42,0.252
5800000,0.91,-0.34,0.28500000000000003
5900000,0.922,-0.308,0.30700000000000005
6000000,0.912,-0.272,0.32
6100000,0.914,-0.384,0.265
6200000,0.92,-0.45,0.23500000000000001
6300000,0.892,-0.4,0.246
6400000,0.906,-0.544,0.181
6500000,0.882,-0.492,0.195
6600000,0.886,-0.472,0.20700000000000002
6700000,0.922,-0.486,0.21800000000000003
6800000,0.898,-0.418,0.24000000000000002
6900000,0.87,-0.402,0.23399999999999999
7000000,0.858,-0.344,0.257
7100000,0.878,-0.372,0.253
7200000,0.886,-0.398,0.244
7300000,0.904,-0.444,0.23
7400000,0.884,-0.354,0.265
7500000,0.898,-0.46,0.219
7600000,0.876,-0.416,0.23
7700000,0.92,-0.43,0.24500000000000002
7800000,0.926,-0.524,0.201
7900000,0.902,-0.502,0.2
8000000,0.91,-0.456,0.227
8100000,0.808,-0.396,0.20600000000000002
8200000,0.848,-0.478,0.185
8300000,0.902,-0.52,0.191
8400000,0.886,-0.512,0.187
8500000,0.902,-0.452,0.225
8600000,0.898,-0.512,0.193
8700000,0.908,-0.534,0.187
8800000,0.88,-0.462,0.209
8900000,0.9,-0.478,0.21100000000000002
9000000,0.88,-0.452,0.214
9100000,0.888,-0.492,0.198
9200000,0.914,-0.532,0.191
9300000,0.868,-0.518,0.175
9400000,0.894,-0.5,0.197
9500000,0.868,-0.468,0.19999999999999998
9600000,0.924,-0.508,0.20800000000000002
9700000,0.856,-0.468,0.19399999999999998
9800000,0.924,-0.514,0.20500000000000002
9900000,0.898,-0.51,0.194
10000000,0.894,-0.474,0.21000000000000002
