,pid_0,pid_1,mean
100000,0.687,-0.348,0.16950000000000004
200000,0.595,-0.244,0.1755
300000,0.693,-0.085,0.304
400000,0.545,-0.293,0.12600000000000003
500000,0.556,-0.277,0.1395
600000,0.327,-0.325,0.0010000000000000009
700000,0.383,-0.238,0.07250000000000001
800000,0.531,-0.364,0.08350000000000002
900000,0.704,-0.322,0.19099999999999998
1000000,0.43,-0.466,-0.018000000000000016
1100000,0.514,-0.226,0.14400000000000002
1200000,0.734,-0.25,0.242
1300000,0.59,-0.211,0.1895
1400000,0.57,-0.306,0.13199999999999998
1500000,0.673,-0.269,0.202
1600000,0.582,-0.353,0.11449999999999999
1700000,0.47,-0.224,0.12299999999999998
1800000,0.669,-0.34,0.1645
1900000,0.703,-0.244,0.22949999999999998
2000000,0.683,-0.252,0.21550000000000002
2100000,0.503,-0.288,0.10750000000000001
2200000,0.478,-0.435,0.02149999999999999
2300000,0.68,-0.23,0.22500000000000003
2400000,0.536,-0.354,0.09100000000000003
2500000,0.559,-0.298,0.13050000000000003
2600000,0.53,-0.316,0.10700000000000001
2700000,0.657,-0.454,0.1015
2800000,0.807,-0.335,0.23600000000000002
2900000,0.755,-0.427,0.164
3000000,0.704,-0.38,0.16199999999999998
3100000,0.832,-0.322,0.255
3200000,0.741,-0.315,0.213
3300000,0.625,-0.374,0.1255
3400000,0.762,-0.225,0.2685
3500000,0.746,-0.311,0.2175
3600000,0.626,-0.352,0.137
3700000,0.773,-0.148,0.3125
3800000,0.622,-0.258,0.182
3900000,0.792,-0.279,0.2565
4000000,0.824,-0.211,0.3065
4100000,0.799,-0.326,0.23650000000000002
4200000,0.759,-0.208,0.2755
4300000,0.816,-0.32,0.24799999999999997
4400000,0.744,-0.321,0.2115
4500000,0.591,-0.222,0.1845
4600000,0.794,-0.309,0.24250000000000002
4700000,0.824,-0.341,0.24149999999999996
4800000,0.822,-0.366,0.22799999999999998
4900000,0.763,-0.335,0.214
5000000,0.761,-0.352,0.20450000000000002
5100000,0.801,-0.208,0.29650000000000004
5200000,0.807,-0.355,0.22600000000000003
5300000,0.774,-0.429,0.17250000000000001
5400000,0.785,-0.244,0.2705
5500000,0.66,-0.422,0.11900000000000002
5600000,0.74,-0.343,0.19849999999999998
5700000,0.723,-0.338,0.19249999999999998
5800000,0.801,-0.309,0.24600000000000002
5900000,0.742,-0.28,0.23099999999999998
6000000,0.814,-0.256,0.27899999999999997
6100000,0.626,-0.254,0.186
6200000,0.757,-0.214,0.2715
6300000,0.803,-0.166,0.3185
6400000,0.795,-0.229,0.28300000000000003
6500000,0.8,-0.29,0.255
6600000,0.789,-0.292,0.24850000000000003
6700000,0.802,-0.395,0.20350000000000001
6800000,0.731,-0.284,0.2235
6900000,0.717,-0.266,0.22549999999999998
7000000,0.708,-0.274,0.21699999999999997
7100000,0.746,-0.26,0.243
7200000,0.751,-0.309,0.221
7300000,0.764,-0.307,0.2285
7400000,0.791,-0.273,0.259
7500000,0.778,-0.374,0.202
7600000,0.702,-0.256,0.22299999999999998
7700000,0.744,-0.295,0.2245
7800000,0.802,-0.29,0.256
7900000,0.795,-0.272,0.2615
8000000,0.791,-0.305,0.24300000000000002
8100000,0.815,-0.332,0.24149999999999996
8200000,0.804,-0.3,0.252
8300000,0.748,-0.258,0.245
8400000,0.785,-0.287,0.24900000000000003
8500000,0.718,-0.205,0.2565
8600000,0.783,-0.267,0.258
8700000,0.808,-0.299,0.25450000000000006
8800000,0.761,-0.307,0.227
8900000,0.794,-0.265,0.2645
9000000,0.809,-0.284,0.26250000000000007
9100000,0.786,-0.311,0.23750000000000002
9200000,0.757,-0.269,0.244
9300000,0.807,-0.296,0.25550000000000006
9400000,0.811,-0.309,0.251
9500000,0.732,-0.303,0.2145
9600000,0.753,-0.326,0.2135
9700000,0.711,-0.238,0.2365
9800000,0.809,-0.269,0.27
9900000,0.651,-0.255,0.198
10000000,0.828,-0.339,0.24449999999999997
