,ppo_lr_0.00025_alpha_0.05,ppo_lr_0.0001_alpha_0.0625,ppo_lr_0.0001_alpha_0.03125,ppo_lr_0.0001_alpha_0.125,nfsp,ppo_lr_0.0001_alpha_0.05,ppo_lr_0.00025_alpha_0.0625,ppo_lr_0.00025_alpha_0.125,ppo_lr_0.0001_alpha_0.015625,ppo_lr_0.00025_alpha_0.015625,ppo_lr_0.00025_alpha_0.03125
8300000,0.334,0.23000000000000004,0.19799999999999995,0.37899999999999995,0.984,0.4580000000000001,0.473,0.10299999999999998,0.464,0.49,0.47100000000000003
8400000,0.315,0.41800000000000004,0.26,0.41600000000000004,1.054,0.366,0.4039999999999999,0.143,0.507,0.49800000000000005,0.41500000000000004
8500000,0.315,0.16499999999999998,0.27299999999999996,0.42100000000000004,1.019,0.514,0.445,0.30099999999999993,0.41,0.513,0.343
8600000,0.292,0.235,0.24,0.603,1.039,0.34600000000000003,0.687,0.47300000000000003,0.39299999999999996,0.516,0.5599999999999999
8700000,0.32,0.132,0.289,0.42499999999999993,1.1480000000000001,0.46699999999999997,0.031000000000000028,0.534,0.506,0.5090000000000001,0.5150000000000001
8800000,0.36000000000000004,0.244,0.15500000000000003,0.522,1.0110000000000001,0.604,0.822,0.11200000000000002,0.46599999999999997,0.454,0.616
8900000,0.23100000000000004,0.37300000000000005,0.276,0.506,1.0410000000000001,0.49,0.527,-0.188,0.44499999999999995,0.529,0.6659999999999999
9000000,0.282,0.22200000000000003,0.30300000000000005,0.494,1.0350000000000001,0.43199999999999994,0.643,0.27899999999999997,0.433,0.5250000000000001,0.6499999999999999
9100000,0.33000000000000007,0.39899999999999997,0.318,0.579,1.036,0.139,0.5660000000000001,0.33999999999999997,0.481,0.47500000000000003,0.484
9200000,0.36100000000000004,0.16399999999999998,0.303,0.5559999999999999,1.064,0.18699999999999994,-0.0050000000000000044,0.288,0.537,0.488,0.5760000000000001
9300000,0.308,0.334,0.353,0.5960000000000001,1.032,0.25899999999999995,-0.22599999999999998,0.404,0.48400000000000004,0.5110000000000001,0.629
9400000,0.36500000000000005,0.05399999999999999,0.373,0.6849999999999999,0.996,0.26299999999999996,0.026000000000000023,0.31300000000000006,0.505,0.502,0.592
9500000,0.25399999999999995,0.382,0.30000000000000004,0.566,1.041,0.425,-0.357,0.313,0.5169999999999999,0.429,0.551
9600000,0.199,-0.019999999999999962,0.29600000000000004,0.532,1.079,0.411,-0.385,0.184,0.22299999999999998,0.427,0.583
9700000,0.314,0.14300000000000007,0.33799999999999997,0.471,1.012,0.34299999999999997,-0.04200000000000004,0.008000000000000007,0.43899999999999995,0.473,0.5830000000000001
9800000,0.31700000000000006,0.47600000000000003,0.32799999999999996,0.535,1.002,0.464,0.02300000000000002,-0.08200000000000002,0.47100000000000003,0.54,0.597
9900000,0.31900000000000006,0.26,0.333,0.49600000000000005,1.036,0.40499999999999997,-0.03799999999999998,-0.343,0.571,0.396,0.587
10000000,0.30700000000000005,-0.08999999999999997,0.3559999999999999,0.554,1.095,0.264,0.128,0.296,0.54,0.48899999999999993,0.6359999999999999
