,ppo_lr_0.00025_alpha_0.05_pid_1,ppo_lr_0.0001_alpha_0.0625_pid_1,ppo_lr_0.0001_alpha_0.03125_pid_1,ppo_lr_0.0001_alpha_0.125_pid_1,nfsp_pid_1,ppo_lr_0.0001_alpha_0.05_pid_1,ppo_lr_0.00025_alpha_0.0625_pid_1,ppo_lr_0.00025_alpha_0.125_pid_1,ppo_lr_0.0001_alpha_0.015625_pid_1,ppo_lr_0.00025_alpha_0.015625_pid_1,ppo_lr_0.00025_alpha_0.03125_pid_1
5100000,-0.227,-0.444,-0.163,-0.379,0.198,-0.314,-0.204,-0.302,-0.341,-0.208,-0.44
5200000,-0.222,-0.251,-0.222,-0.325,0.185,-0.266,-0.202,-0.197,-0.318,-0.355,-0.394
5300000,-0.219,-0.401,-0.277,-0.192,0.24,-0.3,-0.234,-0.319,-0.288,-0.429,-0.409
5400000,-0.267,-0.407,-0.286,-0.361,0.211,-0.327,-0.336,-0.227,-0.375,-0.244,-0.407
5500000,-0.334,-0.475,-0.213,-0.269,0.228,-0.391,-0.305,-0.435,-0.303,-0.422,-0.389
5600000,-0.447,-0.34,-0.272,-0.247,0.272,-0.329,-0.207,-0.335,-0.327,-0.343,-0.366
5700000,-0.341,-0.269,-0.31,-0.16,0.195,-0.295,-0.394,-0.346,-0.275,-0.338,-0.36
5800000,-0.446,-0.369,-0.227,-0.17,0.237,-0.3,-0.356,-0.401,-0.253,-0.309,-0.381
5900000,-0.16,-0.26,-0.238,-0.266,0.289,-0.286,-0.358,-0.336,-0.317,-0.28,-0.424
6000000,-0.354,-0.358,-0.336,-0.225,0.22,-0.28,-0.389,-0.291,-0.214,-0.256,-0.408
6100000,-0.391,-0.445,-0.299,-0.265,0.221,-0.311,-0.224,-0.309,-0.225,-0.254,-0.37
6200000,-0.278,-0.351,-0.404,-0.416,0.2,-0.185,-0.307,-0.149,-0.268,-0.214,-0.392
6300000,-0.282,-0.265,-0.357,-0.359,0.215,-0.253,-0.346,-0.299,-0.17,-0.166,-0.432
6400000,-0.262,-0.358,-0.303,-0.361,0.216,-0.356,-0.239,-0.288,-0.279,-0.229,-0.368
6500000,-0.174,-0.402,-0.272,-0.23,0.259,-0.186,-0.346,-0.382,-0.295,-0.29,-0.36
6600000,-0.073,-0.376,-0.263,-0.183,0.243,-0.291,-0.155,-0.418,-0.394,-0.292,-0.41
6700000,-0.326,-0.343,-0.259,-0.215,0.262,-0.303,-0.256,-0.429,-0.344,-0.395,-0.155
6800000,-0.331,-0.322,-0.214,-0.245,0.19,-0.321,-0.447,-0.393,-0.252,-0.284,-0.369
6900000,-0.4,-0.238,-0.252,-0.283,0.228,-0.367,-0.307,-0.417,-0.438,-0.266,-0.344
7000000,-0.41,-0.236,-0.243,-0.151,0.22,-0.395,-0.298,-0.207,-0.328,-0.274,-0.342
7100000,-0.379,-0.386,-0.241,-0.186,0.207,-0.371,-0.344,-0.364,-0.356,-0.26,-0.38
7200000,-0.442,-0.23,-0.3,-0.094,0.2,-0.342,-0.378,-0.242,-0.327,-0.309,-0.449
7300000,-0.273,-0.451,-0.288,-0.265,0.23,-0.455,-0.418,-0.196,-0.307,-0.307,-0.48
7400000,-0.307,-0.388,-0.337,-0.291,0.246,-0.307,-0.422,-0.29,-0.322,-0.273,-0.328
7500000,-0.202,-0.369,-0.322,-0.238,0.213,-0.321,-0.372,-0.225,-0.303,-0.374,-0.417
7600000,-0.251,-0.393,-0.349,-0.272,0.221,-0.337,-0.376,-0.224,-0.299,-0.256,-0.207
7700000,-0.126,-0.404,-0.297,-0.432,0.205,-0.348,-0.363,-0.226,-0.207,-0.295,-0.217
7800000,-0.354,-0.296,-0.364,-0.243,0.233,-0.377,-0.255,-0.236,-0.336,-0.29,-0.36
7900000,-0.356,-0.307,-0.353,-0.341,0.226,-0.344,-0.351,-0.19,-0.33,-0.272,-0.314
8000000,-0.496,-0.416,-0.43,-0.337,0.229,-0.273,-0.397,-0.276,-0.423,-0.305,-0.426
8100000,-0.508,-0.3,-0.417,-0.331,0.201,-0.397,-0.219,-0.315,-0.362,-0.332,-0.264
8200000,-0.355,-0.392,-0.413,-0.341,0.198,-0.357,-0.141,-0.317,-0.439,-0.3,-0.329
8300000,-0.305,-0.446,-0.39,-0.322,0.199,-0.344,-0.242,-0.276,-0.187,-0.258,-0.327
8400000,-0.336,-0.356,-0.383,-0.269,0.287,-0.349,-0.167,-0.219,-0.278,-0.287,-0.363
8500000,-0.334,-0.424,-0.43,-0.228,0.193,-0.293,-0.295,-0.271,-0.312,-0.205,-0.464
8600000,-0.339,-0.368,-0.473,-0.128,0.165,-0.418,0.03,-0.185,-0.329,-0.267,-0.278
8700000,-0.323,-0.324,-0.418,-0.269,0.372,-0.269,-0.363,-0.239,-0.25,-0.299,-0.291
8800000,-0.32,-0.367,-0.404,-0.255,0.249,-0.137,0.123,-0.219,-0.226,-0.307,-0.219
8900000,-0.326,-0.305,-0.383,-0.246,0.231,-0.1,-0.106,-0.373,-0.246,-0.265,-0.07
9000000,-0.34,-0.33,-0.384,-0.206,0.253,-0.271,-0.195,-0.31,-0.311,-0.284,-0.181
9100000,-0.357,-0.337,-0.421,-0.156,0.229,-0.384,-0.063,-0.265,-0.279,-0.311,-0.239
9200000,-0.315,-0.412,-0.306,-0.268,0.289,-0.378,-0.432,-0.303,-0.261,-0.269,-0.211
9300000,-0.323,-0.41,-0.391,-0.195,0.221,-0.441,-0.485,-0.23,-0.303,-0.296,-0.171
9400000,-0.3,-0.418,-0.373,-0.138,0.188,-0.431,-0.416,-0.367,-0.259,-0.309,-0.232
9500000,-0.34,-0.346,-0.349,-0.156,0.256,-0.288,-0.475,-0.195,-0.314,-0.303,-0.219
9600000,-0.421,-0.478,-0.379,-0.267,0.264,-0.317,-0.46,-0.292,-0.391,-0.326,-0.197
9700000,-0.309,-0.417,-0.388,-0.253,0.202,-0.377,-0.468,-0.346,-0.395,-0.238,-0.226
9800000,-0.356,-0.304,-0.387,-0.267,0.247,-0.318,-0.349,-0.43,-0.307,-0.269,-0.189
9900000,-0.358,-0.28,-0.332,-0.292,0.265,-0.339,-0.443,-0.449,-0.296,-0.255,-0.233
10000000,-0.347,-0.363,-0.334,-0.213,0.266,-0.474,-0.318,-0.31,-0.248,-0.339,-0.181
