,pid_0,pid_1,mean
100000,-0.002,-0.654,-0.328
200000,0.622,-0.7,-0.03899999999999998
300000,0.268,-0.324,-0.027999999999999997
400000,0.912,-0.472,0.22000000000000003
500000,0.872,-0.024,0.424
600000,0.714,-0.232,0.241
700000,0.81,-0.436,0.18700000000000003
800000,0.852,-0.286,0.28300000000000003
900000,0.5,-0.46,0.01999999999999999
1000000,0.564,-0.49,0.03699999999999998
1100000,0.664,-0.424,0.12000000000000002
1200000,0.708,-0.572,0.068
1300000,0.556,-0.53,0.013000000000000012
1400000,0.316,-0.134,0.091
1500000,0.786,-0.53,0.128
1600000,0.846,-0.438,0.204
1700000,0.598,-0.696,-0.04899999999999999
1800000,0.536,-0.33,0.10300000000000001
1900000,0.246,-0.562,-0.15800000000000003
2000000,0.644,-0.456,0.094
2100000,0.464,-0.42,0.02200000000000002
2200000,0.588,-0.51,0.03899999999999998
2300000,0.432,-0.662,-0.11500000000000002
2400000,0.394,-0.562,-0.08400000000000002
2500000,0.802,-0.358,0.22200000000000003
2600000,0.822,-0.506,0.15799999999999997
2700000,0.678,-0.426,0.12600000000000003
2800000,0.758,-0.402,0.178
2900000,0.776,-0.606,0.08500000000000002
3000000,0.906,-0.628,0.139
3100000,0.934,-0.532,0.201
3200000,0.552,-0.422,0.06500000000000003
3300000,0.738,-0.264,0.237
3400000,0.834,-0.484,0.175
3500000,0.818,-0.584,0.11699999999999999
3600000,0.826,-0.548,0.13899999999999996
3700000,0.824,-0.452,0.18599999999999997
3800000,0.856,-0.496,0.18
3900000,0.82,-0.62,0.09999999999999998
4000000,0.798,-0.292,0.253
4100000,0.792,-0.368,0.21200000000000002
4200000,0.662,-0.286,0.18800000000000003
4300000,0.852,-0.478,0.187
4400000,0.844,-0.07,0.387
4500000,0.922,-0.268,0.327
4600000,0.396,-0.05,0.17300000000000001
4700000,0.864,-0.43,0.217
4800000,0.832,-0.384,0.22399999999999998
4900000,0.628,-0.168,0.22999999999999998
5000000,0.882,-0.44,0.221
5100000,0.91,0.034,0.47200000000000003
5200000,0.884,0.038,0.461
5300000,0.672,-0.44,0.11600000000000002
5400000,0.88,-0.422,0.229
5500000,0.87,-0.47,0.2
5600000,0.828,-0.404,0.21199999999999997
5700000,0.908,-0.432,0.23800000000000002
5800000,0.828,-0.282,0.273
5900000,0.934,-0.284,0.32500000000000007
6000000,0.934,-0.318,0.30800000000000005
6100000,0.89,-0.322,0.28400000000000003
6200000,0.932,-0.326,0.30300000000000005
6300000,0.918,-0.43,0.24400000000000002
6400000,0.878,-0.352,0.263
6500000,0.904,-0.382,0.261
6600000,0.938,-0.348,0.295
6700000,0.934,-0.28,0.327
6800000,0.892,-0.418,0.23700000000000002
6900000,0.87,-0.376,0.247
7000000,0.864,-0.482,0.191
7100000,0.912,-0.436,0.23800000000000002
7200000,0.912,-0.418,0.24700000000000003
7300000,0.896,-0.398,0.249
7400000,0.886,-0.498,0.194
7500000,0.83,-0.412,0.209
7600000,0.934,-0.434,0.25
7700000,0.842,-0.486,0.178
7800000,0.706,-0.402,0.15199999999999997
7900000,0.888,-0.476,0.20600000000000002
8000000,0.92,-0.41,0.255
8100000,0.832,-0.354,0.239
8200000,0.864,-0.33,0.267
8300000,0.844,-0.346,0.249
8400000,0.918,-0.3,0.30900000000000005
8500000,0.892,-0.368,0.262
8600000,0.856,-0.226,0.315
8700000,0.908,-0.234,0.337
8800000,0.796,-0.076,0.36000000000000004
8900000,0.932,-0.262,0.335
9000000,0.852,-0.04,0.40599999999999997
9100000,0.864,-0.2,0.33199999999999996
9200000,0.858,-0.19,0.33399999999999996
9300000,0.904,-0.254,0.325
9400000,0.65,-0.23,0.21000000000000002
9500000,0.742,-0.172,0.28500000000000003
9600000,0.816,-0.198,0.30899999999999994
9700000,0.586,-0.166,0.20999999999999996
9800000,0.712,-0.152,0.27999999999999997
9900000,0.754,-0.204,0.275
10000000,0.632,-0.156,0.238
